Account Number,Reporting Period,Origination Date,Credit Limit,Outstanding Balance,CLTV Ratio,Interest Rate,Delinquency Status,Property State,Credit Score,Loan Type,DTI Ratio,Loan Modification,Charge-Off Status
200867,2025-02,2021-01-03,198371,181298,69.57,6.84,Current,IL,619,Fixed,50.83,No,No
200868,2025-02,2016-12-18,188627,143953,64.18,4.92,Current,CA,837,HELOC,21.52,No,No
200869,2025-02,2015-09-08,95798,57756,52.11,8.22,Current,CA,587,Fixed,35.38,No,No
200870,2025-02,2017-05-09,124567,186859,94.57,4.73,Current,WA,756,Fixed,33.19,No,No
200871,2025-02,2023-02-28,217401,150381,93.76,6.91,Current,WA,676,HELOC,26.48,No,No
200872,2025-02,2017-12-05,13673,60137,51.0,3.43,Current,FL,623,Fixed,35.26,No,No
200873,2025-02,2023-11-04,139202,142550,95.34,7.74,Current,FL,812,Fixed,46.33,No,No
200874,2025-02,2016-05-13,14395,148280,97.96,7.89,Current,TX,666,Fixed,42.65,No,No
200875,2025-02,2018-09-05,31016,60530,97.94,3.73,60 Days,FL,556,Fixed,50.87,No,No
200876,2025-02,2023-09-11,30598,190373,56.39,7.2,Current,WA,786,Fixed,40.95,No,No
200877,2025-02,2017-07-30,195884,116232,78.23,4.68,Current,WA,550,Fixed,16.23,No,No
200878,2025-02,2022-09-29,115441,147338,81.13,4.04,Current,NY,827,HELOC,25.43,No,No
200879,2025-02,2016-10-20,40608,78835,98.12,8.93,Current,TX,773,HELOC,44.78,No,No
200880,2025-02,2019-09-07,233116,38797,92.27,4.56,Current,IL,613,Fixed,46.64,No,No
200881,2025-02,2020-07-19,58868,190387,93.55,3.23,Current,NY,822,Fixed,50.68,No,No
200882,2025-02,2023-11-28,210439,71430,74.87,7.12,Current,GA,664,Fixed,36.7,No,No
200883,2025-02,2018-06-16,204353,183757,63.15,6.06,Current,WA,612,Fixed,47.48,No,No
200884,2025-02,2015-01-20,208729,98426,75.58,5.61,Current,TX,614,Fixed,51.21,No,No
200885,2025-02,2017-11-04,196433,182376,71.91,6.79,30 Days,IL,683,HELOC,21.35,Yes,No
200886,2025-02,2018-05-05,65346,50258,66.18,6.73,Current,TX,714,Fixed,46.08,No,No
200887,2025-02,2020-07-11,225686,21975,96.65,5.69,Current,CA,737,HELOC,54.66,No,No
200888,2025-02,2020-03-11,241470,86829,84.76,4.1,Current,FL,553,Fixed,49.54,No,No
200889,2025-02,2022-12-25,99734,123225,76.03,4.28,Current,FL,562,HELOC,23.15,No,No
200890,2025-02,2021-04-04,136789,75975,53.27,5.1,Current,NY,733,HELOC,39.92,No,No
200891,2025-02,2016-08-09,139614,52983,71.46,8.73,Current,WA,672,HELOC,32.05,No,No
200892,2025-02,2015-01-10,59735,76567,59.32,7.03,Current,FL,795,Fixed,23.19,No,No
200893,2025-02,2019-06-18,143220,197413,95.09,3.83,Current,GA,501,HELOC,37.16,No,No
200894,2025-02,2019-02-18,115512,156036,50.26,7.92,Current,TX,815,HELOC,18.1,No,No
200895,2025-02,2023-03-14,110995,177690,93.9,3.61,Current,NY,509,HELOC,49.91,No,No
200896,2025-02,2021-09-30,112849,7713,51.62,6.8,Current,CA,653,HELOC,42.7,No,No
200897,2025-02,2023-10-12,52571,105065,83.73,4.88,Current,FL,540,HELOC,19.47,Yes,No
200898,2025-02,2017-07-30,89996,140079,94.21,3.09,Current,WA,681,HELOC,31.21,No,No
200899,2025-02,2018-11-28,77604,12201,78.23,5.8,Current,IL,659,Fixed,22.14,No,No
200900,2025-02,2021-03-13,13162,122659,89.06,6.28,Current,IL,609,Fixed,21.42,No,No
200901,2025-02,2023-09-26,248458,130553,57.72,3.49,Current,FL,675,Fixed,23.6,No,No
200902,2025-02,2016-12-27,13611,128062,92.32,3.32,Current,TX,611,HELOC,40.9,No,No
200903,2025-02,2022-07-08,211333,61470,73.7,5.25,Current,FL,784,Fixed,37.96,No,No
200904,2025-02,2015-09-20,126902,199672,76.07,4.01,Current,GA,826,Fixed,43.1,No,No
200905,2025-02,2022-12-28,16481,50795,71.79,4.84,Current,TX,548,Fixed,34.61,No,No
200906,2025-02,2020-12-09,55457,41163,63.84,7.29,Current,WA,839,HELOC,31.67,No,No
200907,2025-02,2016-10-08,30836,10162,97.16,3.21,Current,TX,790,Fixed,25.34,No,No
200908,2025-02,2016-11-06,157441,143756,50.8,3.36,Current,WA,578,HELOC,51.63,No,No
200909,2025-02,2017-09-05,50255,24465,80.67,5.43,Current,NY,843,HELOC,33.67,Yes,No
200910,2025-02,2022-06-21,162266,47272,71.22,4.48,Current,TX,583,Fixed,21.68,No,No
200911,2025-02,2018-05-14,91506,60868,83.01,4.48,Current,FL,533,Fixed,44.99,No,No
200912,2025-02,2022-09-17,104114,184475,69.29,8.37,Current,TX,602,Fixed,52.43,No,No
200913,2025-02,2019-08-17,190153,150966,92.59,3.17,Current,GA,531,HELOC,50.03,No,No
200914,2025-02,2015-09-18,112561,120597,66.22,3.78,Current,NY,811,Fixed,41.31,No,Yes
200915,2025-02,2016-05-18,232727,160331,84.0,8.25,Current,CA,805,Fixed,17.18,No,No
200916,2025-02,2019-09-15,228101,88248,53.43,8.86,Current,WA,720,HELOC,16.84,No,No
200917,2025-02,2019-03-09,26354,194930,99.02,5.44,Current,CA,777,HELOC,25.12,No,No
200918,2025-02,2022-12-05,162586,24048,93.27,3.45,Current,IL,849,HELOC,37.53,No,No
200919,2025-02,2021-02-18,79235,130055,73.36,3.43,Current,NY,775,HELOC,21.44,No,No
200920,2025-02,2018-12-28,174974,60694,95.12,4.53,Current,GA,589,HELOC,48.56,No,No
200921,2025-02,2018-02-23,170032,7615,92.17,5.26,30 Days,TX,739,Fixed,37.97,No,No
200922,2025-02,2021-03-05,67034,55532,90.13,5.48,Current,CA,725,Fixed,48.47,No,No
200923,2025-02,2017-12-21,75299,38169,55.77,3.55,Current,IL,792,Fixed,48.96,No,No
200924,2025-02,2015-02-20,116289,164075,63.99,6.19,30 Days,CA,590,HELOC,25.49,No,No
200925,2025-02,2016-06-15,84263,9168,99.07,7.06,Current,IL,570,HELOC,40.71,No,No
200926,2025-02,2019-06-19,196523,113620,67.64,5.47,Current,GA,775,HELOC,15.87,No,No
200927,2025-02,2017-12-21,164847,138955,82.32,4.63,Current,GA,839,Fixed,15.17,No,No
200928,2025-02,2020-07-12,167812,174531,86.91,5.75,30 Days,CA,815,HELOC,33.38,Yes,No
200929,2025-02,2020-02-07,154653,148810,52.08,7.87,Current,CA,813,Fixed,49.36,No,No
200930,2025-02,2018-02-02,127217,8435,80.07,5.65,Current,GA,817,HELOC,30.1,No,No
200931,2025-02,2021-11-03,18529,141628,73.02,4.71,Current,TX,666,Fixed,34.12,No,No
200932,2025-02,2017-06-10,176077,111616,75.35,6.34,60 Days,WA,586,Fixed,32.15,No,No
200933,2025-02,2016-08-16,239995,66860,84.27,8.61,Current,NY,696,HELOC,42.1,No,No
200934,2025-02,2019-11-20,155079,92275,69.3,5.07,Current,WA,827,Fixed,44.66,No,No
200935,2025-02,2017-04-06,115391,195014,51.42,7.25,Current,WA,753,Fixed,49.86,No,No
200936,2025-02,2020-02-23,54848,28744,76.96,4.12,30 Days,IL,693,HELOC,16.78,No,No
200937,2025-02,2022-10-17,221681,90292,79.01,8.58,Current,FL,746,Fixed,30.99,No,No
200938,2025-02,2015-03-10,46249,67906,72.5,4.93,Current,NY,511,HELOC,25.38,No,No
200939,2025-02,2016-11-04,161501,118450,67.58,7.46,Current,IL,705,Fixed,21.21,No,No
200940,2025-02,2021-04-27,32331,66613,68.67,7.89,Current,GA,769,HELOC,22.11,No,No
200941,2025-02,2017-02-06,56476,146178,50.37,7.56,Current,IL,729,Fixed,44.92,No,No
200942,2025-02,2023-06-23,180804,161959,57.22,8.24,90+ Days,CA,607,Fixed,50.61,No,No
200943,2025-02,2023-12-11,58842,76808,60.4,3.43,Current,TX,689,Fixed,47.85,No,No
200944,2025-02,2016-06-24,45196,64037,90.72,5.92,Current,NY,539,HELOC,16.94,No,No
200945,2025-02,2015-10-30,85302,172043,52.66,6.99,Current,IL,533,HELOC,54.77,No,No
200946,2025-02,2020-08-19,235956,149459,89.09,8.0,Current,FL,617,Fixed,47.82,No,No
200947,2025-02,2021-10-05,190033,181840,75.99,3.45,Current,GA,847,HELOC,19.99,No,No
200948,2025-02,2018-03-16,93080,119946,92.31,8.49,Current,GA,690,Fixed,29.98,No,No
200949,2025-02,2015-05-09,15766,138261,84.67,8.56,Current,GA,656,HELOC,18.85,No,No
200950,2025-02,2023-07-06,210060,179579,57.33,4.09,Current,CA,791,Fixed,22.87,No,No
200951,2025-02,2020-09-05,175878,199490,51.15,7.25,Current,WA,689,Fixed,18.98,No,No
200952,2025-02,2023-01-15,111758,57758,97.83,8.09,Current,GA,570,HELOC,34.07,No,No
200953,2025-02,2021-02-08,157148,130337,66.13,4.99,60 Days,TX,713,HELOC,54.56,No,No
200954,2025-02,2017-10-01,24438,6477,67.61,8.93,Current,CA,597,Fixed,49.0,No,No
200955,2025-02,2015-05-20,86077,16371,59.68,3.18,Current,WA,835,Fixed,45.92,No,No
200956,2025-02,2018-09-18,247598,80065,77.67,3.0,30 Days,WA,842,Fixed,23.55,No,No
200957,2025-02,2018-06-06,199614,54199,54.25,5.86,Current,NY,690,HELOC,50.69,No,No
200958,2025-02,2021-02-20,221789,187795,86.4,7.13,Current,IL,712,HELOC,40.25,No,No
200959,2025-02,2023-07-09,30886,132846,57.72,6.84,Current,IL,830,Fixed,28.41,Yes,No
200960,2025-02,2019-10-17,242267,81688,79.47,6.08,Current,IL,645,HELOC,30.68,No,No
200961,2025-02,2022-10-27,71481,29701,84.23,5.86,Current,GA,814,HELOC,42.29,No,No
200962,2025-02,2015-10-05,228901,133534,80.91,5.0,Current,CA,523,HELOC,44.28,Yes,No
200963,2025-02,2015-08-31,198867,49946,98.4,6.13,Current,GA,637,HELOC,44.03,No,No
200964,2025-02,2015-04-03,56601,106154,94.21,7.67,Current,IL,712,Fixed,37.91,No,No
200965,2025-02,2016-08-05,96291,134170,61.16,8.91,Current,TX,503,HELOC,42.87,No,No
200966,2025-02,2018-11-13,13827,110980,94.89,3.1,Current,IL,758,HELOC,38.36,No,No
200967,2025-02,2022-12-08,200704,155921,70.35,5.93,Current,GA,649,Fixed,39.71,No,No
200968,2025-02,2020-09-01,149163,183005,87.48,3.35,Current,NY,721,HELOC,37.56,Yes,Yes
200969,2025-02,2019-10-22,188232,24109,57.76,7.54,Current,GA,636,HELOC,30.75,No,No
200970,2025-02,2021-08-03,90421,41622,72.8,7.01,Current,GA,537,HELOC,51.13,No,No
200971,2025-02,2020-09-06,83835,96839,62.66,6.5,Current,TX,500,Fixed,54.42,No,No
200972,2025-02,2015-08-21,159846,33325,53.26,4.45,Current,NY,736,HELOC,25.67,No,Yes
200973,2025-02,2015-10-21,225864,104047,54.1,8.07,Current,WA,809,Fixed,15.31,No,No
200974,2025-02,2016-04-27,85157,150868,89.28,7.91,Current,CA,614,Fixed,24.62,No,No
200975,2025-02,2021-12-19,115720,194577,59.66,4.01,Current,FL,809,Fixed,31.89,No,No
200976,2025-02,2017-07-20,73783,65012,61.18,7.31,Current,GA,671,Fixed,37.18,No,No
200977,2025-02,2021-02-26,170375,63264,70.94,8.78,Current,FL,584,HELOC,21.62,No,No
200978,2025-02,2018-06-03,103087,121626,95.42,3.41,30 Days,IL,805,Fixed,50.21,No,No
200979,2025-02,2016-12-05,226870,60077,54.25,5.73,Current,GA,630,Fixed,48.22,No,No
200980,2025-02,2022-07-09,124821,97954,60.93,8.4,Current,TX,778,Fixed,42.54,No,No
200981,2025-02,2020-03-01,90830,134085,50.49,4.57,Current,CA,674,HELOC,20.15,No,No
200982,2025-02,2020-05-13,142002,53171,82.3,8.15,Current,CA,822,HELOC,36.56,No,No
200983,2025-02,2019-08-19,228680,67532,75.15,6.07,Current,GA,661,HELOC,28.79,No,No
200984,2025-02,2020-05-05,106424,8149,74.48,3.96,Current,TX,839,HELOC,34.75,No,No
200985,2025-02,2017-09-07,140844,33108,96.0,6.83,Current,NY,803,Fixed,24.53,No,No
200986,2025-02,2022-11-19,206715,49659,56.62,6.27,Current,WA,515,HELOC,43.53,No,No
200987,2025-02,2015-08-13,110204,55099,81.28,8.55,Current,IL,631,HELOC,22.31,No,No
200988,2025-02,2018-02-17,122947,95205,64.16,6.79,Current,NY,821,Fixed,46.42,No,No
200989,2025-02,2023-04-30,120217,63382,70.58,4.63,Current,TX,567,Fixed,35.01,No,No
200990,2025-02,2019-10-28,118921,14844,99.54,6.59,Current,NY,760,Fixed,37.36,No,No
200991,2025-02,2018-01-08,194013,118202,65.38,6.43,Current,FL,632,Fixed,22.09,No,No
200992,2025-02,2018-06-25,243499,77359,87.27,6.61,Current,NY,680,HELOC,27.72,No,No
200993,2025-02,2023-02-15,42539,84654,63.84,5.79,Current,IL,534,HELOC,21.29,No,No
200994,2025-02,2018-03-15,224475,161941,92.33,6.99,Current,TX,518,HELOC,36.8,No,No
200995,2025-02,2023-07-17,165621,58109,55.03,4.02,Current,NY,728,HELOC,50.64,No,No
200996,2025-02,2023-12-13,71748,114920,96.93,8.43,Current,CA,693,Fixed,41.83,No,No
200997,2025-02,2016-11-19,56579,28739,76.78,7.33,60 Days,CA,621,Fixed,35.82,No,No
200998,2025-02,2018-10-15,185802,126101,99.43,4.67,Current,NY,819,Fixed,42.04,No,No
200999,2025-02,2017-02-23,80831,91761,86.71,7.06,Current,GA,630,HELOC,53.23,No,No
201000,2025-02,2016-09-24,84244,190074,86.77,7.71,Current,TX,752,HELOC,27.33,No,No
201001,2025-02,2023-10-28,115800,52079,64.07,4.51,Current,TX,677,HELOC,43.72,No,No
201002,2025-02,2022-08-01,219089,174361,65.41,7.49,Current,NY,606,Fixed,51.62,No,No
201003,2025-02,2019-12-02,85635,44243,50.91,5.18,30 Days,WA,511,HELOC,23.56,No,No
201004,2025-02,2015-06-28,117114,57021,71.35,6.79,Current,WA,684,HELOC,47.01,No,No
201005,2025-02,2021-09-06,35930,32840,74.45,7.2,Current,FL,728,Fixed,33.99,No,No
201006,2025-02,2023-01-20,196652,110519,50.45,4.13,Current,WA,609,HELOC,38.33,No,No
201007,2025-02,2022-04-16,206040,79282,64.55,6.89,Current,WA,794,Fixed,19.31,No,No
201008,2025-02,2015-07-14,193616,59723,81.84,4.41,Current,FL,673,HELOC,43.67,No,Yes
201009,2025-02,2023-06-19,121244,61277,94.13,3.73,Current,IL,515,Fixed,18.33,No,No
201010,2025-02,2020-04-04,82921,80960,84.6,6.75,Current,CA,829,Fixed,49.84,No,No
201011,2025-02,2016-10-13,226544,163197,98.82,5.49,Current,NY,740,Fixed,25.06,Yes,No
201012,2025-02,2021-11-07,143404,154162,76.5,6.54,Current,FL,607,Fixed,21.04,No,No
201013,2025-02,2023-10-19,105283,176280,90.14,6.79,Current,CA,731,HELOC,22.48,No,No
201014,2025-02,2022-06-08,182625,105281,72.82,7.16,Current,FL,659,Fixed,39.83,No,No
201015,2025-02,2021-11-01,50328,20403,80.3,6.57,Current,WA,507,HELOC,19.13,No,No
201016,2025-02,2016-12-29,172471,107198,83.63,8.21,Current,IL,602,Fixed,47.3,No,No
201017,2025-02,2023-05-21,12779,89546,90.12,5.15,Current,CA,623,Fixed,35.19,No,No
201018,2025-02,2019-02-27,133823,29833,68.9,8.65,Current,CA,664,HELOC,40.77,No,No
201019,2025-02,2019-09-26,194367,6892,80.99,4.83,Current,WA,791,HELOC,28.48,No,No
201020,2025-02,2021-11-24,159142,5305,90.67,6.22,Current,NY,783,HELOC,27.11,No,No
201021,2025-02,2015-12-02,167534,149963,95.61,7.03,Current,GA,713,Fixed,38.67,No,No
201022,2025-02,2022-03-27,234689,152047,82.77,3.9,Current,NY,730,HELOC,34.69,Yes,No
201023,2025-02,2021-05-19,174074,176772,56.83,5.52,Current,WA,586,HELOC,46.88,No,No
201024,2025-02,2017-12-23,125829,149944,53.72,3.17,Current,NY,844,Fixed,38.23,No,No
201025,2025-02,2021-07-26,78402,104377,69.27,5.11,Current,NY,559,Fixed,16.44,No,No
201026,2025-02,2015-06-15,63151,53317,71.8,5.76,90+ Days,NY,601,HELOC,18.55,No,No
201027,2025-02,2023-04-06,144861,187229,68.64,3.4,Current,GA,694,Fixed,48.17,No,No
201028,2025-02,2019-11-06,54053,98578,77.73,7.22,Current,GA,656,HELOC,52.3,No,No
201029,2025-02,2023-08-29,161562,28032,83.18,7.8,Current,CA,609,HELOC,32.59,No,No
201030,2025-02,2018-07-31,75334,59597,58.68,4.33,Current,FL,711,Fixed,29.43,No,No
201031,2025-02,2020-04-30,101690,189971,82.39,7.57,Current,GA,521,Fixed,43.6,No,No
201032,2025-02,2019-08-08,182740,156044,56.85,8.5,Current,IL,740,HELOC,22.09,No,No
201033,2025-02,2017-06-04,64649,150862,52.98,7.88,Current,NY,552,Fixed,25.56,No,No
201034,2025-02,2017-02-28,160237,139670,72.7,3.5,Current,WA,805,HELOC,26.02,No,No
201035,2025-02,2021-02-19,98866,94399,79.23,8.77,Current,GA,798,Fixed,44.2,No,No
201036,2025-02,2022-03-12,134074,31615,66.71,3.58,Current,GA,795,HELOC,16.56,No,No
201037,2025-02,2019-04-02,173014,24601,82.12,8.57,Current,TX,726,Fixed,19.85,No,No
201038,2025-02,2018-12-16,11575,7391,77.82,7.74,Current,CA,722,Fixed,34.54,No,No
201039,2025-02,2016-06-04,152647,22138,88.98,3.51,30 Days,FL,607,HELOC,41.4,No,No
201040,2025-02,2018-01-01,218736,14535,52.77,6.48,Current,CA,754,HELOC,49.06,No,No
201041,2025-02,2018-08-11,65083,93324,56.43,8.04,Current,FL,622,HELOC,53.98,No,No
201042,2025-02,2017-07-31,66255,141802,71.97,8.11,Current,TX,784,Fixed,22.1,No,No
201043,2025-02,2021-02-17,113667,50381,70.07,5.73,Current,GA,675,Fixed,21.11,No,No
201044,2025-02,2022-12-01,157277,167004,81.1,8.97,Current,GA,746,Fixed,25.98,No,No
201045,2025-02,2022-10-08,211210,150305,86.0,3.59,Current,WA,703,HELOC,35.06,No,No
201046,2025-02,2015-08-21,188348,186984,54.01,6.39,Current,WA,798,Fixed,42.24,No,No
201047,2025-02,2020-12-28,71257,194508,83.4,6.7,Current,CA,646,Fixed,29.76,No,Yes
201048,2025-02,2022-03-11,10751,126241,89.64,5.48,60 Days,WA,603,HELOC,46.56,No,No
201049,2025-02,2017-07-09,207588,74104,59.88,4.22,Current,WA,731,HELOC,33.02,No,No
201050,2025-02,2020-12-29,88406,196608,51.75,6.35,60 Days,IL,604,HELOC,45.7,No,No
201051,2025-02,2018-12-04,83475,141681,77.82,5.71,Current,WA,719,Fixed,29.6,No,No
201052,2025-02,2018-01-15,122362,104083,59.04,7.32,Current,IL,842,Fixed,53.65,No,No
201053,2025-02,2021-10-03,47309,23702,55.03,6.69,60 Days,FL,665,HELOC,44.86,Yes,No
201054,2025-02,2015-05-10,172735,181160,53.53,7.47,Current,GA,743,Fixed,35.05,No,No
201055,2025-02,2020-08-27,20843,178168,64.38,5.91,Current,FL,705,Fixed,46.6,No,No
201056,2025-02,2016-06-18,43846,17995,88.79,8.64,Current,WA,688,Fixed,27.56,No,No
201057,2025-02,2018-06-06,172971,132138,75.36,8.98,Current,NY,761,HELOC,50.76,No,No
201058,2025-02,2018-09-06,226715,117235,89.52,7.28,Current,CA,696,HELOC,23.64,No,No
201059,2025-02,2019-10-09,168884,71997,56.75,5.41,30 Days,CA,537,Fixed,38.68,No,No
201060,2025-02,2017-11-21,193859,26056,98.36,5.98,Current,IL,821,HELOC,51.03,No,No
201061,2025-02,2016-08-22,15891,47142,72.19,8.92,Current,CA,674,HELOC,37.02,No,No
201062,2025-02,2019-06-22,178043,55253,73.97,3.17,Current,WA,523,HELOC,38.79,No,No
201063,2025-02,2020-03-14,138001,101329,93.31,4.84,90+ Days,GA,693,HELOC,35.22,No,No
201064,2025-02,2023-11-12,65278,182337,98.53,4.88,30 Days,GA,617,Fixed,49.22,No,No
201065,2025-02,2022-05-29,233052,107501,64.52,4.24,60 Days,TX,829,Fixed,47.57,Yes,No
201066,2025-02,2020-02-01,211654,102183,81.96,8.15,Current,FL,845,Fixed,34.59,No,No
201067,2025-02,2020-06-04,121571,93931,76.29,4.19,Current,FL,578,HELOC,21.69,No,No
201068,2025-02,2015-12-20,134905,91100,97.52,6.0,Current,TX,504,HELOC,24.74,No,No
201069,2025-02,2016-02-27,103386,110021,84.1,4.96,Current,CA,563,HELOC,32.51,No,No
201070,2025-02,2015-06-04,84165,122409,71.91,8.41,Current,WA,810,Fixed,29.42,No,No
201071,2025-02,2016-01-01,14096,8114,89.16,8.48,Current,WA,644,Fixed,31.56,No,No
201072,2025-02,2017-06-09,33798,169702,82.83,7.31,Current,GA,592,Fixed,39.98,No,No
201073,2025-02,2023-07-31,69250,142449,81.94,8.63,Current,CA,826,HELOC,47.58,No,No
201074,2025-02,2023-11-07,192425,18406,75.04,4.66,Current,GA,696,HELOC,17.69,Yes,No
201075,2025-02,2022-01-24,45762,179750,55.22,6.07,Current,NY,765,Fixed,41.18,No,No
201076,2025-02,2020-07-03,190570,48391,53.58,5.06,Current,IL,727,HELOC,50.95,No,No
201077,2025-02,2017-04-01,61678,77635,95.56,6.28,Current,IL,770,Fixed,41.7,No,No
201078,2025-02,2018-07-27,79854,126854,76.47,6.24,30 Days,WA,653,Fixed,31.9,No,No
201079,2025-02,2021-07-22,93391,127636,53.26,7.83,Current,WA,658,Fixed,24.7,No,No
201080,2025-02,2022-09-04,112527,122513,76.55,7.17,Current,NY,632,Fixed,19.6,No,Yes
201081,2025-02,2016-02-01,128739,96248,77.59,5.81,Current,NY,515,Fixed,31.91,No,No
201082,2025-02,2021-10-25,68079,101501,91.7,6.76,Current,TX,660,Fixed,42.04,No,No
201083,2025-02,2019-12-19,39447,166606,70.77,6.44,30 Days,TX,600,HELOC,49.6,No,No
201084,2025-02,2017-03-07,203494,36791,98.95,8.47,Current,NY,710,HELOC,45.38,No,No
201085,2025-02,2023-07-20,129836,27901,93.62,7.1,Current,TX,597,HELOC,25.72,No,No
201086,2025-02,2017-10-15,173259,168537,52.9,7.87,Current,GA,662,HELOC,23.79,No,No
201087,2025-02,2016-06-05,151820,78788,53.99,4.25,Current,WA,835,Fixed,38.6,No,No
201088,2025-02,2023-08-01,188963,10189,51.93,6.78,Current,CA,631,Fixed,41.55,No,No
201089,2025-02,2015-04-03,71378,81049,66.26,8.1,Current,FL,548,HELOC,35.54,No,No
201090,2025-02,2016-10-30,113956,56001,50.08,7.31,Current,IL,845,Fixed,42.35,No,No
201091,2025-02,2016-06-05,32440,29841,77.27,3.45,30 Days,FL,637,Fixed,19.02,No,Yes
201092,2025-02,2019-09-10,225122,131804,52.37,6.74,Current,WA,632,HELOC,46.74,No,No
201093,2025-02,2020-01-04,245507,132629,64.27,8.49,Current,GA,645,Fixed,37.87,No,No
201094,2025-02,2021-11-28,212551,150000,87.89,8.19,Current,NY,808,HELOC,26.47,No,No
201095,2025-02,2023-12-20,176367,109559,60.23,6.79,Current,FL,593,Fixed,24.05,No,No
201096,2025-02,2023-12-02,74365,69827,57.01,4.46,Current,IL,806,Fixed,32.47,No,No
201097,2025-02,2016-07-11,127231,30074,67.28,7.78,Current,TX,614,HELOC,23.97,No,No
201098,2025-02,2021-11-17,231373,17524,76.98,6.02,Current,GA,555,Fixed,40.4,No,No
201099,2025-02,2023-07-22,62031,10574,60.58,4.71,Current,TX,809,HELOC,26.48,No,No
201100,2025-02,2021-08-04,90711,84322,74.87,8.2,60 Days,FL,624,HELOC,49.72,No,No
201101,2025-02,2019-07-20,197808,58327,68.15,7.22,Current,CA,612,Fixed,54.38,No,No
201102,2025-02,2016-06-10,214780,64788,97.23,8.14,Current,FL,777,Fixed,24.58,Yes,No
201103,2025-02,2016-06-09,236368,158442,55.03,8.46,Current,WA,525,HELOC,54.98,No,No
201104,2025-02,2017-06-13,137103,22859,65.21,4.33,Current,NY,632,Fixed,53.09,No,No
201105,2025-02,2023-04-18,196137,141219,59.02,3.8,30 Days,IL,622,HELOC,35.9,No,No
201106,2025-02,2020-08-20,235652,180571,74.13,4.3,Current,TX,686,HELOC,16.32,No,No
201107,2025-02,2023-03-22,105937,92055,63.26,3.61,Current,IL,579,Fixed,44.36,No,No
201108,2025-02,2016-12-21,231424,29135,97.94,3.13,Current,FL,635,Fixed,27.02,No,No
201109,2025-02,2023-03-16,180020,129862,85.47,4.32,Current,WA,556,Fixed,24.12,No,No
201110,2025-02,2023-09-10,213390,15826,68.11,3.46,90+ Days,WA,553,HELOC,34.97,Yes,No
201111,2025-02,2018-09-24,149666,116690,95.25,3.61,Current,GA,793,HELOC,51.29,Yes,No
201112,2025-02,2015-01-23,67787,139675,86.52,8.08,Current,IL,782,HELOC,50.86,No,No
201113,2025-02,2016-03-01,80171,39446,67.03,4.14,Current,NY,559,Fixed,25.58,No,No
201114,2025-02,2019-11-01,36046,166736,73.74,4.68,Current,FL,730,Fixed,16.59,No,No
201115,2025-02,2020-09-22,43366,85991,93.67,5.08,Current,FL,689,HELOC,49.34,No,No
201116,2025-02,2016-11-29,118420,181443,94.61,4.35,Current,IL,578,HELOC,28.05,No,No
201117,2025-02,2023-11-24,204331,182085,59.43,7.94,Current,FL,519,HELOC,34.71,No,No
201118,2025-02,2019-01-07,135854,69483,96.89,4.52,Current,WA,806,Fixed,18.85,No,No
201119,2025-02,2016-03-19,88051,76432,97.08,7.1,Current,NY,631,Fixed,53.86,No,No
201120,2025-02,2022-02-10,144628,132329,86.75,3.44,60 Days,IL,510,HELOC,18.28,No,No
201121,2025-02,2018-12-19,80833,156794,65.29,6.8,Current,CA,501,HELOC,53.11,No,No
201122,2025-02,2015-02-25,59402,56421,95.15,5.69,Current,NY,524,HELOC,16.12,No,No
201123,2025-02,2021-05-19,46058,46988,70.7,3.39,Current,WA,787,HELOC,22.76,No,No
201124,2025-02,2017-05-11,248920,97041,79.84,6.12,Current,TX,709,HELOC,42.53,No,No
201125,2025-02,2022-03-13,50843,16083,63.6,5.98,Current,CA,509,HELOC,15.2,No,No
201126,2025-02,2023-01-18,173427,130708,90.16,3.3,Current,FL,650,HELOC,15.73,No,No
201127,2025-02,2020-04-13,39621,57024,87.8,6.85,Current,GA,592,HELOC,50.92,No,No
201128,2025-02,2022-11-12,171648,78398,73.3,6.85,Current,TX,742,Fixed,22.07,No,No
201129,2025-02,2021-01-10,229541,82723,53.22,3.64,Current,WA,611,HELOC,20.97,No,No
201130,2025-02,2020-10-14,161264,119814,66.74,6.91,Current,FL,502,HELOC,45.44,No,No
201131,2025-02,2019-06-30,245594,30525,80.95,7.25,Current,GA,511,HELOC,47.24,No,No
201132,2025-02,2020-10-04,187205,65232,93.16,7.74,Current,IL,623,Fixed,41.68,No,No
201133,2025-02,2020-08-11,137286,151015,51.8,4.94,Current,NY,504,HELOC,52.43,No,No
201134,2025-02,2015-06-30,228329,91026,64.27,4.44,60 Days,GA,807,Fixed,53.56,No,No
201135,2025-02,2021-08-12,46521,26147,54.22,4.21,Current,TX,793,HELOC,36.91,No,No
201136,2025-02,2018-09-16,165105,104187,55.96,5.67,Current,WA,569,HELOC,45.46,No,No
201137,2025-02,2021-08-17,54206,45561,51.27,4.36,Current,TX,739,HELOC,51.11,No,No
201138,2025-02,2021-06-06,84929,153300,86.39,7.63,Current,FL,502,HELOC,45.46,No,No
201139,2025-02,2019-06-14,83164,48635,65.07,6.31,Current,TX,572,Fixed,15.38,No,No
201140,2025-02,2021-04-17,184430,42244,58.11,3.16,Current,GA,552,HELOC,50.76,No,No
201141,2025-02,2019-11-19,20800,43158,79.03,6.64,Current,TX,634,HELOC,52.63,No,No
