Account Number,Reporting Period,Origination Date,Loan Amount,LTV Ratio,Interest Rate,Delinquency Status,Property State,Credit Score,Loan Purpose,DTI Ratio,Loan Modification,Charge-Off Status
101902,2025-02,2019-01-26,920432,73.24,7.32,Current,FL,731,Refinance,42.14,No,Yes
101903,2025-02,2019-09-29,397675,91.81,4.13,30 Days,WA,546,Cash-Out Refinance,34.24,No,No
101904,2025-02,2018-02-13,913931,74.51,7.18,Current,WA,641,Purchase,38.1,No,No
101905,2025-02,2016-03-24,615749,90.37,6.6,90+ Days,NY,523,Cash-Out Refinance,16.5,No,No
101906,2025-02,2019-02-12,61981,90.88,2.84,Current,IL,837,Refinance,16.96,No,No
101907,2025-02,2023-04-04,596174,57.96,3.75,Current,CA,753,Refinance,36.86,No,No
101908,2025-02,2021-11-20,449481,87.5,6.56,Current,NY,568,Refinance,15.75,No,No
101909,2025-02,2018-12-18,366286,69.6,7.0,Current,NY,766,Purchase,45.77,No,No
101910,2025-02,2019-02-06,762114,74.91,6.23,Current,IL,554,Refinance,18.8,No,No
101911,2025-02,2021-04-08,963793,94.42,6.96,Current,CA,656,Cash-Out Refinance,30.64,No,No
101912,2025-02,2018-02-19,373963,54.67,4.78,Current,NY,777,Cash-Out Refinance,45.76,No,No
101913,2025-02,2017-06-14,493511,66.67,4.31,Current,NY,532,Cash-Out Refinance,26.49,No,No
101914,2025-02,2022-04-17,165362,82.81,8.36,Current,WA,782,Refinance,17.5,No,No
101915,2025-02,2018-06-05,504379,84.08,7.22,Current,WA,814,Cash-Out Refinance,31.84,No,No
101916,2025-02,2017-10-28,152068,69.04,4.68,90+ Days,FL,723,Refinance,39.79,No,No
101917,2025-02,2020-08-18,619244,74.62,8.35,Current,TX,706,Purchase,10.05,Yes,No
101918,2025-02,2019-03-19,741147,62.48,4.35,Current,CA,605,Refinance,49.2,No,No
101919,2025-02,2018-05-23,333741,63.06,6.61,Current,NY,794,Refinance,21.29,No,No
101920,2025-02,2017-09-04,359664,61.3,3.68,Current,NY,821,Cash-Out Refinance,31.49,No,No
101921,2025-02,2016-05-26,258372,78.47,7.38,Current,IL,743,Refinance,38.28,No,No
101922,2025-02,2017-11-19,522902,92.69,2.53,Current,FL,817,Cash-Out Refinance,14.46,No,No
101923,2025-02,2017-06-24,466737,60.55,6.75,Current,WA,567,Purchase,41.82,No,No
101924,2025-02,2016-06-30,928455,86.7,7.44,Current,IL,691,Cash-Out Refinance,22.73,No,No
101925,2025-02,2015-12-27,231417,78.34,7.98,Current,GA,668,Cash-Out Refinance,33.65,No,No
101926,2025-02,2015-10-08,593764,89.71,6.08,30 Days,GA,797,Purchase,17.7,No,No
101927,2025-02,2017-12-26,295588,92.19,4.02,Current,GA,752,Cash-Out Refinance,21.39,No,Yes
101928,2025-02,2018-08-03,518362,82.89,3.57,Current,GA,646,Refinance,35.37,No,No
101929,2025-02,2023-08-12,528365,65.19,8.39,Current,IL,676,Cash-Out Refinance,39.16,No,No
101930,2025-02,2018-03-02,880430,95.68,6.7,Current,GA,731,Purchase,26.57,Yes,No
101931,2025-02,2016-03-01,305093,85.61,2.56,Current,NY,672,Purchase,10.25,No,Yes
101932,2025-02,2020-08-17,211885,96.34,5.53,30 Days,CA,708,Cash-Out Refinance,30.55,No,No
101933,2025-02,2017-02-26,904928,79.94,4.82,Current,CA,758,Refinance,46.15,No,No
101934,2025-02,2015-11-10,589986,87.95,3.13,Current,CA,642,Purchase,10.63,No,No
101935,2025-02,2015-08-19,651974,89.56,4.11,Current,TX,696,Refinance,36.42,No,No
101936,2025-02,2021-01-10,703041,69.49,8.47,Current,WA,660,Refinance,48.07,No,No
101937,2025-02,2021-05-04,323483,69.9,4.4,Current,IL,782,Refinance,47.66,No,No
101938,2025-02,2015-06-10,871134,77.42,8.15,Current,NY,775,Cash-Out Refinance,23.58,No,No
101939,2025-02,2019-06-15,182045,70.98,8.11,30 Days,IL,623,Cash-Out Refinance,16.14,No,No
101940,2025-02,2022-05-16,561718,90.36,6.05,30 Days,NY,766,Cash-Out Refinance,37.13,No,No
101941,2025-02,2016-10-11,154515,60.65,6.32,Current,CA,697,Purchase,14.98,No,No
101942,2025-02,2019-06-17,123990,98.18,5.97,Current,NY,774,Purchase,18.55,No,No
101943,2025-02,2017-11-20,608194,95.76,7.74,Current,GA,779,Purchase,15.97,No,No
101944,2025-02,2023-01-25,289333,62.53,5.73,Current,CA,518,Refinance,44.14,No,No
101945,2025-02,2019-07-28,545023,72.18,7.87,Current,NY,546,Cash-Out Refinance,47.55,No,No
101946,2025-02,2020-11-05,392071,64.0,3.53,Current,TX,797,Cash-Out Refinance,15.38,No,No
101947,2025-02,2018-10-17,69397,62.66,5.15,Current,NY,506,Purchase,28.3,No,No
101948,2025-02,2019-09-23,602874,78.28,5.31,Current,CA,825,Cash-Out Refinance,29.12,No,No
101949,2025-02,2015-02-10,940953,90.27,7.87,60 Days,TX,626,Purchase,27.99,No,No
101950,2025-02,2019-08-29,909380,68.18,7.79,Current,GA,806,Refinance,45.45,No,No
101951,2025-02,2015-06-15,745144,64.15,3.4,60 Days,NY,618,Cash-Out Refinance,10.58,No,No
101952,2025-02,2020-02-15,608685,50.1,2.9,Current,NY,601,Refinance,39.84,No,No
101953,2025-02,2015-03-14,298184,82.99,6.4,Current,TX,554,Cash-Out Refinance,19.51,No,No
101954,2025-02,2021-12-21,776966,70.51,4.54,Current,GA,658,Purchase,46.93,No,No
101955,2025-02,2018-01-01,98521,76.16,3.4,60 Days,TX,550,Refinance,23.6,No,Yes
101956,2025-02,2018-07-27,721687,99.87,7.63,Current,NY,646,Refinance,36.71,No,No
101957,2025-02,2015-08-01,551200,91.62,4.68,Current,FL,505,Cash-Out Refinance,21.84,No,No
101958,2025-02,2023-06-04,458528,82.34,7.95,Current,WA,604,Refinance,27.94,Yes,No
101959,2025-02,2016-10-03,842665,56.27,6.61,Current,FL,716,Cash-Out Refinance,12.11,No,Yes
101960,2025-02,2022-10-14,821720,97.71,7.55,Current,CA,814,Purchase,28.29,No,No
101961,2025-02,2019-02-18,204031,76.07,4.47,Current,NY,794,Cash-Out Refinance,17.13,No,No
101962,2025-02,2015-02-16,813380,67.06,2.55,90+ Days,TX,560,Refinance,20.68,No,No
101963,2025-02,2016-05-20,920288,98.15,2.83,Current,IL,593,Purchase,48.51,No,No
101964,2025-02,2016-01-11,758258,74.44,4.55,Current,TX,714,Refinance,41.44,No,No
101965,2025-02,2022-03-13,909394,74.89,5.09,Current,FL,818,Purchase,37.87,No,No
101966,2025-02,2018-12-29,382432,81.03,3.28,Current,IL,602,Refinance,16.12,No,No
101967,2025-02,2023-01-08,842170,96.21,7.81,Current,FL,710,Purchase,31.64,No,No
101968,2025-02,2018-05-03,685936,59.66,5.24,Current,TX,646,Purchase,12.66,No,No
101969,2025-02,2021-02-23,917123,98.27,5.54,Current,WA,502,Refinance,17.36,No,No
101970,2025-02,2020-08-04,172324,87.89,3.26,30 Days,GA,715,Refinance,44.97,No,No
101971,2025-02,2023-09-03,699879,72.1,8.13,Current,IL,557,Cash-Out Refinance,13.88,No,No
101972,2025-02,2021-06-08,852788,71.69,4.47,Current,NY,733,Purchase,19.26,No,No
101973,2025-02,2021-11-05,95094,87.61,5.15,Current,WA,558,Cash-Out Refinance,28.92,No,No
101974,2025-02,2016-02-02,409810,91.75,4.49,Current,IL,559,Cash-Out Refinance,26.32,No,No
101975,2025-02,2019-04-29,304035,69.55,3.52,Current,FL,833,Cash-Out Refinance,15.88,No,No
101976,2025-02,2020-08-02,512633,80.96,8.29,Current,FL,829,Cash-Out Refinance,36.39,No,No
101977,2025-02,2022-09-02,401479,60.32,6.74,Current,NY,627,Purchase,17.49,No,No
101978,2025-02,2019-01-20,446512,53.35,6.68,Current,WA,623,Cash-Out Refinance,30.33,No,No
101979,2025-02,2015-12-23,912697,57.66,7.09,Current,TX,560,Refinance,11.77,No,No
101980,2025-02,2021-01-06,466998,97.59,4.92,Current,TX,820,Refinance,48.73,No,No
101981,2025-02,2022-11-05,663593,94.68,5.01,Current,CA,769,Purchase,41.21,No,No
101982,2025-02,2017-06-24,921931,59.37,6.24,Current,FL,844,Purchase,44.67,No,No
101983,2025-02,2015-07-30,109205,75.59,6.56,Current,FL,581,Purchase,15.59,No,Yes
101984,2025-02,2019-03-14,325662,68.97,5.6,Current,WA,540,Refinance,15.64,No,No
101985,2025-02,2022-08-22,874257,76.78,6.65,Current,FL,630,Refinance,49.27,No,Yes
101986,2025-02,2019-03-18,187270,70.25,7.18,30 Days,TX,614,Purchase,36.3,No,No
101987,2025-02,2016-06-02,773361,69.1,3.25,Current,IL,534,Refinance,19.6,No,No
101988,2025-02,2023-07-24,828092,94.0,4.58,30 Days,WA,509,Purchase,43.49,No,No
101989,2025-02,2022-02-13,397272,78.81,4.57,Current,WA,530,Purchase,47.21,No,No
101990,2025-02,2021-08-07,666391,89.81,3.85,Current,WA,782,Purchase,20.28,No,No
101991,2025-02,2023-04-13,603510,57.54,3.2,Current,TX,793,Purchase,17.79,No,No
101992,2025-02,2023-07-04,708006,67.14,7.27,Current,GA,765,Cash-Out Refinance,11.66,No,No
101993,2025-02,2015-01-08,311938,81.89,6.37,Current,TX,662,Cash-Out Refinance,25.51,No,No
101994,2025-02,2019-07-07,537877,71.89,8.02,Current,IL,625,Refinance,18.83,Yes,No
101995,2025-02,2018-07-30,134486,88.69,5.08,Current,WA,624,Refinance,13.84,No,No
101996,2025-02,2018-08-09,421057,54.54,6.63,Current,TX,713,Refinance,16.25,No,No
101997,2025-02,2022-08-07,924921,60.61,8.13,Current,IL,837,Purchase,25.39,No,No
101998,2025-02,2019-03-06,124196,56.85,7.72,Current,TX,790,Refinance,13.72,No,No
101999,2025-02,2021-07-18,183533,56.98,3.12,30 Days,IL,704,Purchase,10.35,No,Yes
102000,2025-02,2015-02-11,607165,96.61,3.88,30 Days,TX,644,Cash-Out Refinance,30.58,No,No
102001,2025-02,2015-08-16,817563,53.51,7.91,Current,FL,795,Purchase,33.29,No,No
102002,2025-02,2016-01-06,796526,77.74,4.93,Current,FL,547,Refinance,23.15,No,No
102003,2025-02,2018-12-09,787947,83.08,4.67,Current,FL,593,Purchase,37.74,No,No
102004,2025-02,2023-08-13,970900,98.81,3.18,Current,WA,500,Purchase,14.79,No,No
102005,2025-02,2017-04-20,967689,85.38,6.66,90+ Days,CA,835,Purchase,24.94,No,No
102006,2025-02,2017-10-01,723531,50.62,8.21,Current,CA,702,Purchase,37.05,No,No
102007,2025-02,2016-04-27,61344,64.52,7.47,Current,TX,576,Cash-Out Refinance,30.88,No,No
102008,2025-02,2016-11-17,531863,54.84,6.18,Current,WA,765,Refinance,49.91,No,No
102009,2025-02,2021-06-25,827369,53.69,5.87,30 Days,NY,612,Purchase,41.49,No,No
102010,2025-02,2016-10-06,452023,88.27,2.73,Current,NY,660,Cash-Out Refinance,21.61,No,No
102011,2025-02,2019-08-25,234937,56.13,4.71,Current,TX,734,Purchase,49.46,No,No
102012,2025-02,2017-10-25,645765,79.49,7.25,Current,IL,816,Purchase,27.42,No,No
102013,2025-02,2015-09-25,891037,62.96,6.28,Current,NY,566,Refinance,15.57,No,No
102014,2025-02,2019-04-26,756049,75.94,5.43,Current,FL,598,Purchase,27.44,No,No
102015,2025-02,2016-09-26,941843,79.32,3.31,Current,FL,570,Refinance,44.24,Yes,No
102016,2025-02,2018-01-26,582824,61.38,6.69,Current,FL,800,Cash-Out Refinance,46.97,No,No
102017,2025-02,2015-11-20,975015,56.88,4.15,Current,GA,840,Purchase,43.85,No,No
102018,2025-02,2017-05-13,599298,56.39,4.81,Current,CA,830,Refinance,38.97,No,No
102019,2025-02,2022-07-22,536944,97.91,2.52,30 Days,WA,530,Cash-Out Refinance,27.23,No,No
102020,2025-02,2021-01-16,675373,58.44,3.74,Current,WA,680,Cash-Out Refinance,34.83,No,No
102021,2025-02,2017-03-21,660871,77.43,5.47,Current,CA,529,Refinance,40.61,No,No
102022,2025-02,2019-05-08,359186,77.34,5.54,Current,IL,549,Purchase,17.51,No,No
102023,2025-02,2022-02-11,699279,64.27,5.04,Current,NY,508,Refinance,26.42,Yes,No
102024,2025-02,2016-10-28,565364,86.99,6.73,Current,CA,568,Refinance,42.39,No,No
102025,2025-02,2019-03-29,930939,85.04,5.83,30 Days,GA,680,Purchase,43.65,No,No
102026,2025-02,2023-08-01,212258,67.2,6.77,Current,CA,521,Purchase,12.71,No,No
102027,2025-02,2019-08-05,315297,66.85,3.01,Current,CA,639,Refinance,45.76,No,No
102028,2025-02,2020-08-18,322828,71.54,7.65,Current,IL,604,Cash-Out Refinance,10.12,No,No
102029,2025-02,2023-09-03,167943,66.9,4.55,Current,NY,526,Refinance,42.57,No,No
102030,2025-02,2022-04-17,618285,67.99,5.88,30 Days,TX,681,Purchase,27.5,No,No
102031,2025-02,2023-02-21,376198,88.07,3.82,30 Days,CA,809,Cash-Out Refinance,26.82,Yes,No
102032,2025-02,2019-06-14,255631,87.49,5.55,Current,CA,595,Refinance,49.19,No,No
102033,2025-02,2019-04-12,187724,59.92,5.19,Current,TX,688,Refinance,27.85,No,No
102034,2025-02,2023-09-23,732648,89.91,4.38,Current,FL,678,Refinance,29.09,No,No
102035,2025-02,2023-06-03,130836,60.01,4.43,Current,NY,701,Refinance,48.36,No,No
102036,2025-02,2021-11-18,292556,72.56,7.75,Current,IL,557,Cash-Out Refinance,10.19,No,No
102037,2025-02,2019-07-07,636673,58.49,4.4,Current,GA,599,Refinance,37.15,No,No
102038,2025-02,2018-12-28,456202,71.75,6.31,Current,TX,673,Cash-Out Refinance,23.14,No,Yes
102039,2025-02,2019-01-08,718871,74.73,7.83,Current,IL,773,Cash-Out Refinance,23.54,No,No
102040,2025-02,2021-06-12,591272,51.64,6.63,60 Days,GA,738,Purchase,35.9,No,No
102041,2025-02,2017-12-28,878195,50.54,4.06,Current,WA,564,Refinance,41.64,No,No
102042,2025-02,2018-06-23,51764,78.53,4.84,Current,GA,501,Purchase,24.27,No,No
102043,2025-02,2021-03-31,978773,65.4,8.04,Current,IL,574,Cash-Out Refinance,41.97,No,No
102044,2025-02,2015-01-09,388292,59.35,3.44,Current,TX,752,Purchase,46.91,Yes,No
102045,2025-02,2015-11-01,468651,85.14,8.21,Current,GA,743,Purchase,18.97,No,No
102046,2025-02,2023-05-22,691931,65.46,5.91,Current,WA,555,Refinance,13.6,Yes,No
102047,2025-02,2016-10-09,978724,59.08,6.85,30 Days,NY,592,Cash-Out Refinance,26.1,No,No
102048,2025-02,2021-01-13,178986,83.34,4.44,Current,TX,608,Cash-Out Refinance,41.73,No,No
102049,2025-02,2018-12-24,425046,58.4,7.13,Current,FL,501,Purchase,19.83,No,No
102050,2025-02,2018-12-13,525326,68.98,7.01,30 Days,TX,565,Purchase,39.67,No,No
102051,2025-02,2018-01-24,945676,76.69,6.14,Current,NY,627,Refinance,38.51,No,No
102052,2025-02,2020-12-08,463889,73.17,7.28,Current,CA,594,Purchase,14.77,No,No
102053,2025-02,2016-02-08,623693,60.05,6.34,90+ Days,TX,818,Purchase,36.78,Yes,No
102054,2025-02,2022-02-17,605678,93.15,7.04,Current,CA,705,Refinance,16.35,No,No
102055,2025-02,2021-04-24,967342,59.42,6.32,Current,FL,688,Refinance,39.34,No,No
102056,2025-02,2019-04-23,329732,94.33,6.66,Current,GA,774,Cash-Out Refinance,23.54,No,No
102057,2025-02,2017-08-09,507021,77.6,7.87,Current,GA,587,Cash-Out Refinance,29.53,No,No
102058,2025-02,2021-01-29,74647,70.85,4.62,30 Days,FL,699,Purchase,35.49,No,No
102059,2025-02,2023-06-29,579714,87.87,5.45,Current,NY,548,Purchase,48.7,No,No
102060,2025-02,2021-11-18,941919,91.44,3.08,Current,GA,847,Purchase,22.51,No,No
102061,2025-02,2020-06-30,605782,57.75,2.72,30 Days,IL,736,Refinance,32.96,No,No
102062,2025-02,2017-04-02,783399,60.2,4.14,Current,TX,527,Refinance,44.22,Yes,No
102063,2025-02,2020-10-26,774293,79.86,3.97,60 Days,WA,538,Cash-Out Refinance,14.65,No,No
102064,2025-02,2016-09-13,277497,60.61,4.09,Current,NY,761,Purchase,41.75,No,No
102065,2025-02,2020-10-17,224723,83.1,7.66,Current,FL,525,Cash-Out Refinance,11.79,Yes,No
102066,2025-02,2023-06-27,108829,85.39,2.54,Current,IL,814,Refinance,15.31,No,No
102067,2025-02,2021-07-08,54210,83.25,7.78,30 Days,IL,663,Refinance,32.43,No,No
102068,2025-02,2018-06-24,920430,87.42,7.48,Current,GA,753,Cash-Out Refinance,46.52,No,No
102069,2025-02,2017-02-04,966965,90.18,6.2,90+ Days,TX,537,Purchase,18.18,No,No
102070,2025-02,2017-11-06,184305,73.15,2.61,Current,IL,525,Cash-Out Refinance,29.02,No,No
102071,2025-02,2020-02-05,739625,86.04,6.5,Current,IL,581,Refinance,31.58,No,No
102072,2025-02,2017-04-06,153000,75.1,5.45,Current,IL,577,Purchase,40.01,No,No
102073,2025-02,2020-05-04,541569,50.34,5.09,Current,GA,712,Refinance,20.12,No,No
102074,2025-02,2020-09-28,325997,56.4,4.38,30 Days,FL,767,Purchase,15.25,No,No
102075,2025-02,2019-02-27,453385,86.11,7.19,Current,IL,746,Purchase,22.62,No,No
102076,2025-02,2022-07-03,678699,73.59,7.78,30 Days,GA,792,Cash-Out Refinance,11.13,No,No
102077,2025-02,2016-11-05,229109,68.14,4.32,Current,NY,602,Refinance,14.64,No,No
102078,2025-02,2016-01-16,438449,55.35,4.77,Current,GA,625,Refinance,18.41,No,No
102079,2025-02,2016-12-12,852249,74.29,7.16,Current,GA,808,Purchase,20.19,Yes,No
102080,2025-02,2019-04-21,182144,62.18,4.17,Current,CA,702,Purchase,37.41,No,No
102081,2025-02,2021-05-12,900957,85.62,6.8,Current,IL,503,Refinance,30.27,No,No
102082,2025-02,2021-12-27,902090,71.0,5.74,Current,GA,695,Cash-Out Refinance,38.82,No,No
102083,2025-02,2023-07-16,795190,70.89,3.03,Current,TX,810,Purchase,29.77,No,No
102084,2025-02,2015-05-27,546443,66.24,6.75,Current,WA,797,Purchase,15.29,No,No
102085,2025-02,2015-11-30,752739,65.66,7.75,Current,FL,653,Refinance,47.67,No,No
102086,2025-02,2019-08-17,703903,60.19,5.03,Current,CA,764,Refinance,31.82,No,No
102087,2025-02,2022-11-20,968092,95.68,4.55,Current,CA,676,Refinance,36.49,No,No
102088,2025-02,2021-02-04,461954,50.07,3.29,Current,FL,826,Cash-Out Refinance,11.11,No,No
102089,2025-02,2019-05-24,107021,96.57,2.7,Current,GA,662,Purchase,33.0,No,No
102090,2025-02,2015-08-03,885745,94.57,3.87,Current,GA,524,Cash-Out Refinance,25.09,No,Yes
102091,2025-02,2020-04-06,593826,51.66,7.84,Current,TX,570,Purchase,23.78,No,No
102092,2025-02,2015-09-11,673324,68.62,2.94,Current,WA,542,Refinance,26.01,No,No
102093,2025-02,2017-05-14,632283,64.66,6.42,Current,GA,737,Cash-Out Refinance,20.72,No,No
102094,2025-02,2023-08-15,845302,62.0,5.4,30 Days,WA,817,Refinance,33.51,No,No
102095,2025-02,2022-12-03,119830,57.45,4.04,Current,IL,575,Purchase,35.85,No,No
102096,2025-02,2023-09-05,630004,74.74,6.79,Current,FL,746,Refinance,15.44,No,No
102097,2025-02,2020-04-22,363841,51.34,7.44,Current,TX,641,Purchase,26.39,No,No
102098,2025-02,2021-03-27,306393,53.13,2.6,Current,TX,683,Cash-Out Refinance,26.75,No,No
102099,2025-02,2017-04-05,272210,70.74,4.74,Current,IL,695,Cash-Out Refinance,23.53,No,No
102100,2025-02,2020-05-08,824114,63.05,6.1,Current,GA,556,Cash-Out Refinance,46.08,No,No
102101,2025-02,2017-05-02,172462,60.56,7.25,Current,TX,673,Purchase,15.58,No,No
102102,2025-02,2021-04-28,856742,57.17,6.29,Current,IL,766,Purchase,40.43,No,No
102103,2025-02,2015-06-06,812022,82.77,5.19,Current,IL,697,Refinance,31.92,No,No
102104,2025-02,2020-03-10,457933,50.32,8.45,Current,NY,557,Cash-Out Refinance,30.99,No,No
102105,2025-02,2023-06-12,131865,56.73,7.2,Current,CA,782,Purchase,19.14,No,No
102106,2025-02,2021-12-29,596496,67.55,2.73,30 Days,WA,760,Refinance,23.03,No,No
102107,2025-02,2022-07-15,695437,97.44,4.28,Current,WA,812,Cash-Out Refinance,37.56,No,No
102108,2025-02,2019-02-12,342627,86.43,3.75,Current,IL,627,Cash-Out Refinance,11.18,No,No
102109,2025-02,2020-10-09,585323,65.1,4.3,Current,TX,683,Purchase,26.41,No,No
102110,2025-02,2015-02-28,585008,64.36,4.78,Current,FL,610,Purchase,14.8,No,No
102111,2025-02,2015-10-15,489553,51.03,8.34,30 Days,CA,630,Cash-Out Refinance,34.36,Yes,No
102112,2025-02,2023-05-20,524193,61.37,3.82,Current,TX,603,Cash-Out Refinance,21.71,No,No
102113,2025-02,2016-06-07,544805,71.75,6.51,Current,WA,811,Cash-Out Refinance,12.18,No,No
102114,2025-02,2018-08-04,963416,74.62,6.78,Current,NY,509,Purchase,42.61,No,No
102115,2025-02,2021-10-15,574092,87.09,7.65,Current,CA,614,Purchase,13.87,No,No
102116,2025-02,2017-04-28,598189,62.41,5.74,30 Days,TX,679,Purchase,14.71,Yes,No
102117,2025-02,2023-05-05,474315,69.47,8.43,Current,FL,710,Refinance,10.5,No,No
102118,2025-02,2019-06-21,923328,65.48,8.33,Current,GA,767,Purchase,29.15,No,No
102119,2025-02,2023-04-24,448653,74.43,6.58,Current,IL,536,Refinance,35.7,No,No
102120,2025-02,2022-01-12,213609,82.55,6.34,Current,TX,641,Cash-Out Refinance,37.32,No,No
102121,2025-02,2018-03-05,869151,52.31,5.08,30 Days,WA,569,Cash-Out Refinance,38.1,No,No
102122,2025-02,2016-02-22,987713,76.75,8.22,Current,FL,849,Cash-Out Refinance,48.43,No,No
102123,2025-02,2016-02-10,413603,82.58,5.91,Current,NY,670,Cash-Out Refinance,46.09,No,No
102124,2025-02,2021-05-27,735748,56.11,6.43,Current,NY,798,Refinance,46.11,No,No
102125,2025-02,2023-03-13,990291,54.95,3.54,Current,WA,674,Cash-Out Refinance,45.75,No,No
102126,2025-02,2022-08-11,122395,67.7,8.37,Current,IL,720,Purchase,27.14,No,No
102127,2025-02,2020-05-26,139685,87.53,5.39,Current,FL,680,Refinance,25.97,No,No
102128,2025-02,2015-01-25,875918,62.53,6.8,Current,NY,528,Cash-Out Refinance,29.8,No,No
102129,2025-02,2018-09-21,135642,87.45,7.66,Current,GA,658,Refinance,11.37,Yes,No
102130,2025-02,2015-06-17,126944,62.27,3.61,30 Days,TX,799,Cash-Out Refinance,19.22,No,No
102131,2025-02,2018-10-07,783673,67.9,5.6,30 Days,NY,737,Cash-Out Refinance,35.48,No,No
102132,2025-02,2020-07-24,270859,88.22,4.62,Current,GA,660,Purchase,36.51,No,No
102133,2025-02,2023-08-08,80439,51.01,7.13,Current,GA,760,Refinance,25.97,No,No
102134,2025-02,2015-09-04,346604,67.33,2.73,Current,CA,822,Refinance,37.34,No,No
102135,2025-02,2022-05-18,54844,55.55,3.99,Current,GA,742,Purchase,41.46,No,No
102136,2025-02,2019-07-15,239457,87.47,6.62,Current,IL,602,Cash-Out Refinance,12.76,No,No
102137,2025-02,2023-02-10,515246,85.91,7.61,Current,IL,644,Refinance,10.36,No,No
102138,2025-02,2020-07-06,813405,82.09,7.09,Current,NY,567,Cash-Out Refinance,20.84,No,No
102139,2025-02,2018-10-01,602244,91.32,6.26,Current,FL,816,Refinance,24.24,No,No
102140,2025-02,2020-10-10,800558,77.6,5.93,Current,CA,543,Cash-Out Refinance,34.25,No,No
102141,2025-02,2020-07-05,178154,64.43,5.8,60 Days,FL,776,Refinance,34.88,No,No
102142,2025-02,2017-04-10,133509,63.99,7.56,Current,WA,710,Purchase,16.54,Yes,No
102143,2025-02,2018-01-12,960039,89.74,6.38,Current,FL,659,Purchase,44.88,No,No
102144,2025-02,2022-03-30,332185,53.95,6.28,Current,NY,588,Cash-Out Refinance,25.99,No,No
102145,2025-02,2019-06-13,530427,94.66,4.27,Current,IL,681,Purchase,27.66,No,No
102146,2025-02,2020-04-11,316501,95.97,3.31,Current,GA,801,Refinance,16.73,No,No
102147,2025-02,2021-10-27,801325,67.17,7.6,Current,CA,627,Refinance,25.93,No,No
102148,2025-02,2023-04-17,75850,69.6,4.62,Current,WA,615,Refinance,43.62,No,No
102149,2025-02,2016-01-11,920296,82.94,8.1,60 Days,WA,841,Refinance,48.31,No,No
102150,2025-02,2016-08-14,64252,53.56,7.87,Current,WA,809,Purchase,18.37,No,No
102151,2025-02,2015-11-30,415943,54.7,5.87,Current,TX,704,Cash-Out Refinance,16.98,No,No
102152,2025-02,2023-10-07,171922,74.15,4.13,Current,FL,633,Refinance,14.37,No,No
102153,2025-02,2020-06-18,952586,79.99,7.28,Current,IL,605,Cash-Out Refinance,15.06,No,No
102154,2025-02,2020-04-08,141952,55.17,4.7,Current,CA,576,Purchase,44.68,No,No
102155,2025-02,2021-12-10,63795,71.64,3.83,Current,CA,685,Cash-Out Refinance,45.31,No,No
102156,2025-02,2018-02-22,51279,68.54,7.22,Current,CA,555,Purchase,13.24,No,No
102157,2025-02,2015-07-10,809989,79.57,3.23,Current,IL,737,Cash-Out Refinance,25.83,No,No
102158,2025-02,2019-08-28,848259,58.45,7.0,Current,GA,737,Refinance,38.77,No,No
102159,2025-02,2016-01-17,957389,58.48,5.61,Current,NY,502,Refinance,31.11,No,No
102160,2025-02,2022-07-30,743288,94.32,6.2,Current,CA,697,Cash-Out Refinance,22.42,No,No
102161,2025-02,2016-05-09,964596,95.12,6.56,Current,WA,790,Purchase,11.12,No,No
102162,2025-02,2020-05-29,799617,68.42,6.09,Current,GA,803,Cash-Out Refinance,39.09,No,No
102163,2025-02,2021-06-25,631245,52.73,6.6,60 Days,CA,819,Purchase,22.04,No,No
102164,2025-02,2023-09-26,562829,50.31,7.33,Current,GA,526,Purchase,12.57,No,No
102165,2025-02,2016-07-18,500645,89.72,3.9,30 Days,WA,508,Cash-Out Refinance,17.04,No,No
102166,2025-02,2017-04-07,323828,54.1,3.48,Current,IL,527,Purchase,27.47,No,No
102167,2025-02,2022-07-06,818157,68.67,4.36,Current,FL,712,Purchase,26.66,No,No
102168,2025-02,2018-07-16,86193,71.28,4.01,Current,GA,600,Cash-Out Refinance,23.7,No,No
102169,2025-02,2015-10-12,219410,77.02,3.14,Current,WA,546,Purchase,22.45,No,No
102170,2025-02,2021-10-27,703023,67.07,4.49,Current,TX,740,Cash-Out Refinance,41.61,No,No
102171,2025-02,2019-07-16,302356,53.08,6.34,30 Days,FL,722,Cash-Out Refinance,11.83,Yes,No
102172,2025-02,2020-09-12,271265,69.78,6.2,Current,CA,701,Cash-Out Refinance,34.9,No,No
102173,2025-02,2021-08-20,590669,84.93,4.54,Current,IL,699,Cash-Out Refinance,46.72,No,No
102174,2025-02,2017-11-03,838582,74.61,7.47,Current,TX,708,Refinance,12.09,No,No
102175,2025-02,2019-08-20,955425,65.2,2.86,Current,FL,651,Refinance,46.94,No,No
102176,2025-02,2023-01-05,739907,78.91,3.65,Current,NY,764,Purchase,30.32,No,No
102177,2025-02,2022-09-22,797144,99.4,2.98,30 Days,FL,560,Refinance,28.32,No,No
102178,2025-02,2023-12-23,930850,91.32,7.48,Current,NY,614,Cash-Out Refinance,38.15,No,No
102179,2025-02,2022-06-13,752561,89.35,7.96,Current,GA,751,Purchase,14.73,No,No
102180,2025-02,2017-01-27,612235,52.48,5.3,Current,CA,809,Cash-Out Refinance,17.78,No,No
102181,2025-02,2015-10-07,527266,85.34,7.92,90+ Days,FL,532,Cash-Out Refinance,48.63,No,No
