Account Number,Reporting Period,Loan Type,Origination Date,Loan Amount,Credit Limit,Outstanding Balance,LTV Ratio,DTI Ratio,Interest Rate,Delinquency Status,Credit Score,Property State,Loan Purpose,Loan Modification,Charge-Off Status,Origination Channel,Loan Term (Months),ARM Fixed Term (Years),Servicer Name,Securitization Status
402364,2025-02,First Lien Mortgage,2019-06-27,397969,416806,343871,52.3,31.54,7.11,Current,571,GA,Cash-Out Refinance,No,No,Correspondent,180,5,Bank B,No
402365,2025-02,Home Equity Loan,2023-05-02,877163,39846,342985,90.27,59.57,9.39,Current,833,WA,Home Improvement,No,No,Correspondent,180,10,Bank A,Yes
402366,2025-02,Home Equity Loan,2015-05-22,524539,457335,353495,95.67,36.43,7.67,Current,563,TX,Purchase,No,No,Correspondent,180,10,Non-Bank D,No
402367,2025-02,Home Equity Loan,2023-06-26,467327,371192,39732,91.86,48.35,8.91,Current,655,TX,Refinance,No,No,Retail,180,3,Bank C,Yes
402368,2025-02,Home Equity Loan,2018-07-02,952422,22698,389657,46.98,15.0,4.8,Current,799,CA,Cash-Out Refinance,No,No,Broker,360,5,Bank B,Yes
402369,2025-02,Home Equity Loan,2017-02-22,401895,411785,127132,74.6,33.93,7.8,Current,667,IL,Cash-Out Refinance,No,No,Broker,180,5,Bank B,No
402370,2025-02,First Lien Mortgage,2022-04-09,576735,122849,106764,76.97,12.68,8.38,Current,823,NY,Cash-Out Refinance,No,No,Direct,180,10,Non-Bank D,No
402371,2025-02,First Lien Mortgage,2021-10-18,872587,271896,412395,64.3,51.27,4.96,Current,708,NY,Home Improvement,No,No,Correspondent,180,10,Bank C,No
402372,2025-02,First Lien Mortgage,2016-09-22,401291,135738,328609,63.57,47.79,5.05,Current,629,WA,Cash-Out Refinance,No,No,Correspondent,240,5,Non-Bank D,Yes
402373,2025-02,First Lien Mortgage,2018-03-04,388198,380780,352888,68.61,59.93,5.18,Current,671,TX,Purchase,No,No,Correspondent,180,7,Bank C,Yes
402374,2025-02,Home Equity Loan,2019-08-28,30783,93695,429708,83.86,52.6,9.21,30 Days,742,GA,Cash-Out Refinance,No,Yes,Direct,240,7,Bank A,Yes
402375,2025-02,Home Equity Loan,2017-12-31,936723,194764,102327,75.93,47.33,3.41,Current,694,NY,Purchase,No,No,Direct,180,7,Bank C,No
402376,2025-02,First Lien Mortgage,2021-10-03,395113,74835,222376,79.09,16.28,3.91,Current,512,GA,Purchase,No,No,Correspondent,240,10,Bank C,Yes
402377,2025-02,First Lien Mortgage,2016-10-24,55924,216059,267082,71.91,36.83,10.0,Current,819,CA,Cash-Out Refinance,No,No,Retail,240,3,Bank B,Yes
402378,2025-02,Home Equity Loan,2022-06-08,992792,473138,38958,53.71,12.33,3.95,Current,615,IL,Home Improvement,No,No,Broker,180,5,Bank B,Yes
402379,2025-02,Home Equity Loan,2021-02-23,138711,320761,132233,48.05,24.01,9.21,Current,537,GA,Cash-Out Refinance,Yes,No,Direct,180,5,Bank C,No
402380,2025-02,First Lien Mortgage,2021-03-29,135728,151462,201294,81.59,20.83,5.3,Current,720,WA,Purchase,No,No,Direct,240,7,Bank C,No
402381,2025-02,First Lien Mortgage,2022-04-05,170628,479853,375993,97.14,50.26,4.62,Current,846,GA,Refinance,No,No,Retail,240,5,Bank C,Yes
402382,2025-02,Home Equity Loan,2016-04-14,287338,219739,132956,40.66,57.96,2.9,Current,768,GA,Cash-Out Refinance,No,No,Direct,180,10,Bank C,No
402383,2025-02,First Lien Mortgage,2020-04-28,50571,73847,41761,51.8,19.84,7.02,Current,555,FL,Cash-Out Refinance,No,No,Direct,240,3,Bank C,Yes
402384,2025-02,First Lien Mortgage,2015-04-14,511185,258188,142030,63.92,21.07,5.88,Current,750,IL,Home Improvement,No,No,Direct,360,5,Bank A,No
402385,2025-02,Home Equity Loan,2015-06-15,965817,92478,428078,78.7,32.24,6.54,Current,744,CA,Cash-Out Refinance,No,No,Direct,240,5,Non-Bank D,No
402386,2025-02,Home Equity Loan,2016-03-27,468977,102055,146260,59.89,19.68,5.43,Current,653,GA,Home Improvement,No,No,Retail,360,7,Bank B,No
402387,2025-02,Home Equity Loan,2018-07-09,964025,196097,48216,46.23,21.07,2.69,Current,794,GA,Purchase,No,No,Broker,240,10,Bank B,No
402388,2025-02,First Lien Mortgage,2015-03-09,758761,369614,336912,47.29,56.6,3.73,Current,661,FL,Purchase,No,No,Direct,240,7,Non-Bank D,Yes
402389,2025-02,First Lien Mortgage,2015-11-03,703806,317291,251917,96.53,32.84,2.86,Current,640,GA,Home Improvement,No,Yes,Broker,360,3,Bank C,No
402390,2025-02,First Lien Mortgage,2015-01-21,263465,393821,72500,72.76,15.44,8.21,60 Days,555,WA,Purchase,No,No,Correspondent,180,3,Bank B,No
402391,2025-02,Home Equity Loan,2015-08-08,742187,187855,436846,70.33,24.73,9.83,Current,682,TX,Purchase,No,No,Direct,360,5,Bank A,No
402392,2025-02,First Lien Mortgage,2023-08-23,392397,39398,393125,99.42,40.77,9.7,Current,646,WA,Cash-Out Refinance,Yes,No,Correspondent,360,3,Bank B,No
402393,2025-02,First Lien Mortgage,2021-02-15,613371,257322,107998,46.23,14.18,3.93,Current,500,FL,Refinance,No,No,Retail,240,7,Non-Bank D,No
402394,2025-02,First Lien Mortgage,2018-04-11,524534,321874,230658,47.49,51.66,6.4,Current,585,GA,Refinance,No,No,Direct,180,5,Non-Bank D,No
402395,2025-02,Home Equity Loan,2023-06-08,54392,165236,385498,59.22,42.14,2.54,Current,739,GA,Cash-Out Refinance,No,No,Broker,360,7,Non-Bank D,No
402396,2025-02,First Lien Mortgage,2023-08-25,460609,59290,60585,76.02,53.0,9.52,Current,730,IL,Purchase,No,No,Retail,180,7,Bank B,Yes
402397,2025-02,First Lien Mortgage,2019-06-02,302091,263988,413427,76.51,20.15,6.78,30 Days,655,TX,Refinance,No,No,Direct,360,3,Bank C,No
402398,2025-02,Home Equity Loan,2019-05-04,555097,193788,337967,76.07,34.32,3.66,Current,632,NY,Cash-Out Refinance,No,No,Direct,360,5,Bank C,No
402399,2025-02,First Lien Mortgage,2016-01-28,648161,370372,222021,83.13,40.39,8.67,Current,734,NY,Purchase,No,No,Correspondent,360,10,Bank C,No
402400,2025-02,First Lien Mortgage,2020-12-28,980419,115857,157915,63.75,59.33,6.26,Current,602,FL,Purchase,No,No,Retail,240,3,Bank B,Yes
402401,2025-02,Home Equity Loan,2023-09-15,975500,229506,164367,89.7,35.92,6.04,Current,541,FL,Refinance,No,No,Retail,360,3,Non-Bank D,Yes
402402,2025-02,Home Equity Loan,2019-08-08,796845,230930,404212,92.02,40.37,3.48,Current,500,CA,Purchase,No,No,Retail,360,3,Bank B,No
402403,2025-02,First Lien Mortgage,2021-03-14,228124,84772,390940,47.69,26.31,7.74,Current,731,IL,Home Improvement,No,No,Retail,240,5,Bank C,No
402404,2025-02,First Lien Mortgage,2018-07-06,266025,401192,85951,97.16,17.89,6.98,90+ Days,523,WA,Purchase,No,No,Retail,180,5,Bank A,No
402405,2025-02,First Lien Mortgage,2022-07-26,190959,121689,395666,95.77,19.99,4.79,Current,605,WA,Refinance,No,No,Direct,360,7,Bank B,Yes
402406,2025-02,Home Equity Loan,2019-08-24,446794,377099,167835,55.49,29.86,3.05,Current,846,TX,Home Improvement,No,No,Correspondent,180,7,Non-Bank D,No
402407,2025-02,First Lien Mortgage,2016-10-17,341746,364384,195618,89.98,41.87,8.77,Current,775,TX,Purchase,No,No,Direct,240,3,Non-Bank D,No
402408,2025-02,First Lien Mortgage,2019-12-10,429158,203670,170831,64.5,33.48,9.7,Current,642,IL,Home Improvement,No,No,Correspondent,180,7,Bank B,Yes
402409,2025-02,Home Equity Loan,2020-08-25,303623,317651,95930,54.59,24.44,4.45,30 Days,566,NY,Refinance,No,No,Broker,240,5,Bank C,No
402410,2025-02,Home Equity Loan,2023-03-12,73120,494221,350166,89.81,40.27,2.51,30 Days,573,CA,Refinance,No,No,Direct,360,5,Bank C,No
402411,2025-02,First Lien Mortgage,2021-07-30,724074,65694,42296,93.56,48.09,9.79,Current,801,CA,Cash-Out Refinance,No,No,Direct,360,3,Bank C,No
402412,2025-02,Home Equity Loan,2022-04-26,652675,409757,440341,89.09,25.42,9.3,Current,804,CA,Cash-Out Refinance,No,No,Broker,240,7,Non-Bank D,Yes
402413,2025-02,Home Equity Loan,2019-07-15,403347,346847,258551,87.05,49.28,4.49,Current,505,FL,Refinance,No,No,Direct,360,7,Non-Bank D,No
402414,2025-02,Home Equity Loan,2020-02-02,30132,35312,334549,44.49,30.73,2.74,Current,560,TX,Home Improvement,No,No,Retail,180,3,Bank A,No
402415,2025-02,Home Equity Loan,2019-07-21,713738,230115,146627,68.47,26.6,7.94,Current,736,IL,Purchase,No,No,Direct,180,7,Bank C,Yes
402416,2025-02,First Lien Mortgage,2021-04-15,947147,298728,121339,50.71,34.69,7.82,Current,839,CA,Cash-Out Refinance,No,No,Broker,240,7,Bank A,Yes
402417,2025-02,Home Equity Loan,2016-01-03,718356,433826,227940,55.42,32.23,4.69,Current,849,TX,Purchase,No,No,Broker,180,10,Bank A,No
402418,2025-02,Home Equity Loan,2020-07-13,292935,275032,202351,60.0,26.04,4.98,Current,534,FL,Refinance,No,No,Broker,180,10,Bank B,No
402419,2025-02,First Lien Mortgage,2022-05-07,64357,410922,392246,62.91,10.61,9.59,30 Days,779,GA,Cash-Out Refinance,No,No,Correspondent,240,10,Bank A,No
402420,2025-02,First Lien Mortgage,2017-01-17,562137,457256,188862,47.35,45.63,8.22,Current,789,IL,Home Improvement,No,No,Direct,240,7,Bank A,No
402421,2025-02,First Lien Mortgage,2017-11-06,269381,26555,75689,92.39,30.1,3.0,30 Days,792,FL,Home Improvement,No,No,Broker,240,10,Bank A,No
402422,2025-02,Home Equity Loan,2019-07-05,682167,223430,398384,82.81,41.44,5.3,Current,536,WA,Cash-Out Refinance,No,No,Broker,240,5,Bank B,Yes
402423,2025-02,Home Equity Loan,2021-05-05,917484,374100,349974,41.73,29.18,7.34,Current,612,GA,Cash-Out Refinance,No,No,Broker,360,5,Non-Bank D,No
402424,2025-02,Home Equity Loan,2017-12-12,992016,151961,57355,52.65,16.23,8.78,Current,564,IL,Cash-Out Refinance,No,No,Correspondent,240,3,Non-Bank D,Yes
402425,2025-02,First Lien Mortgage,2023-07-28,76373,359857,24064,91.44,55.79,6.91,Current,579,IL,Purchase,No,No,Direct,180,10,Bank C,No
402426,2025-02,First Lien Mortgage,2017-06-28,522963,332570,186983,94.64,40.8,9.1,30 Days,506,WA,Refinance,No,No,Direct,360,3,Non-Bank D,No
402427,2025-02,First Lien Mortgage,2017-08-10,285357,287275,207368,63.54,31.37,7.81,Current,655,WA,Purchase,No,No,Direct,240,5,Bank A,Yes
402428,2025-02,First Lien Mortgage,2019-07-20,480701,423942,202680,45.08,47.88,4.27,Current,505,GA,Home Improvement,No,No,Correspondent,360,5,Bank C,Yes
402429,2025-02,First Lien Mortgage,2017-04-17,655184,48313,415467,59.92,15.53,8.33,Current,584,FL,Cash-Out Refinance,No,No,Retail,240,7,Bank A,Yes
402430,2025-02,Home Equity Loan,2017-05-26,389772,318324,216449,46.43,19.73,7.22,Current,694,WA,Home Improvement,No,No,Correspondent,240,10,Bank C,No
402431,2025-02,First Lien Mortgage,2016-10-06,773562,98510,392671,45.67,29.16,8.21,Current,694,IL,Cash-Out Refinance,No,No,Retail,240,7,Bank A,Yes
402432,2025-02,First Lien Mortgage,2015-12-23,914638,478274,144011,54.65,16.65,2.79,Current,673,FL,Refinance,No,No,Correspondent,180,7,Bank C,Yes
402433,2025-02,Home Equity Loan,2023-09-21,173949,407949,52700,72.67,49.74,9.1,Current,509,CA,Home Improvement,No,No,Correspondent,360,5,Non-Bank D,No
402434,2025-02,First Lien Mortgage,2017-10-29,332898,178135,62404,95.11,58.78,6.35,Current,735,FL,Purchase,No,No,Correspondent,240,10,Bank C,Yes
402435,2025-02,First Lien Mortgage,2018-01-31,582009,201869,422355,74.51,40.76,6.34,Current,674,NY,Cash-Out Refinance,No,No,Direct,240,10,Bank A,Yes
402436,2025-02,First Lien Mortgage,2018-11-07,938513,454613,336905,52.14,11.27,9.17,Current,667,CA,Refinance,No,No,Retail,240,5,Bank B,No
402437,2025-02,Home Equity Loan,2018-05-12,187401,357263,113606,45.82,58.41,7.11,Current,685,IL,Home Improvement,No,No,Correspondent,180,7,Bank A,No
402438,2025-02,First Lien Mortgage,2021-12-25,401192,363599,122245,90.46,26.97,5.83,Current,758,TX,Cash-Out Refinance,No,No,Correspondent,180,7,Bank A,No
402439,2025-02,First Lien Mortgage,2023-09-05,646724,458149,229131,57.9,18.15,9.79,Current,719,IL,Cash-Out Refinance,No,No,Correspondent,180,7,Bank A,Yes
402440,2025-02,First Lien Mortgage,2021-07-26,276347,312758,100883,92.85,12.45,5.93,90+ Days,849,GA,Cash-Out Refinance,No,No,Broker,360,3,Bank C,Yes
402441,2025-02,Home Equity Loan,2016-04-17,432357,36911,144585,76.41,50.59,4.82,Current,706,GA,Purchase,No,No,Retail,240,7,Non-Bank D,No
402442,2025-02,Home Equity Loan,2021-05-23,387104,392710,178689,90.78,20.77,9.27,Current,694,CA,Purchase,Yes,No,Broker,180,5,Bank C,No
402443,2025-02,Home Equity Loan,2022-01-18,307265,79898,328900,87.12,10.39,4.61,30 Days,502,NY,Purchase,No,No,Broker,360,3,Bank A,No
402444,2025-02,Home Equity Loan,2023-07-03,130231,263219,184836,51.09,23.71,4.59,Current,748,CA,Refinance,No,No,Direct,180,5,Bank B,No
402445,2025-02,First Lien Mortgage,2020-05-24,726325,268539,231422,58.63,25.14,6.3,Current,731,TX,Purchase,No,No,Correspondent,240,7,Bank A,No
402446,2025-02,Home Equity Loan,2017-02-12,587797,200356,395543,80.87,11.6,3.19,Current,542,CA,Purchase,No,No,Direct,360,10,Non-Bank D,Yes
402447,2025-02,First Lien Mortgage,2020-12-02,672593,415834,191048,65.28,35.71,4.82,30 Days,656,NY,Refinance,No,No,Correspondent,180,10,Non-Bank D,Yes
402448,2025-02,First Lien Mortgage,2018-03-18,936036,219106,272813,80.43,14.25,9.43,Current,705,GA,Cash-Out Refinance,No,No,Retail,180,3,Bank C,No
402449,2025-02,First Lien Mortgage,2018-04-21,410130,144798,121287,97.53,13.57,6.3,Current,662,TX,Refinance,No,No,Broker,180,7,Bank C,No
402450,2025-02,Home Equity Loan,2018-01-02,37631,357086,340642,56.16,43.4,2.91,Current,779,GA,Home Improvement,No,No,Direct,180,7,Bank C,No
402451,2025-02,First Lien Mortgage,2019-10-15,528794,348184,340515,81.23,57.32,9.74,Current,511,FL,Cash-Out Refinance,No,No,Broker,240,10,Bank C,Yes
402452,2025-02,First Lien Mortgage,2016-01-03,426153,142092,82894,49.52,17.57,6.3,Current,550,TX,Cash-Out Refinance,No,No,Direct,360,3,Non-Bank D,No
402453,2025-02,Home Equity Loan,2016-09-30,995462,162597,312188,45.97,14.24,8.81,Current,579,TX,Home Improvement,No,No,Direct,360,5,Bank C,No
402454,2025-02,Home Equity Loan,2020-07-02,900339,272596,191498,76.86,33.19,2.68,30 Days,522,CA,Purchase,No,No,Correspondent,360,7,Bank B,Yes
402455,2025-02,First Lien Mortgage,2020-07-07,334503,217565,142349,41.16,15.12,3.17,Current,506,FL,Cash-Out Refinance,No,No,Broker,180,7,Bank B,No
402456,2025-02,First Lien Mortgage,2021-11-28,27060,162124,81101,79.88,24.63,6.63,Current,552,IL,Home Improvement,No,No,Retail,180,7,Non-Bank D,Yes
402457,2025-02,Home Equity Loan,2015-07-14,925653,214775,56453,72.17,15.61,5.79,30 Days,599,TX,Purchase,No,No,Broker,360,10,Bank C,Yes
402458,2025-02,First Lien Mortgage,2017-11-20,210145,485534,297789,75.06,48.22,9.19,Current,516,TX,Refinance,No,No,Retail,180,5,Non-Bank D,Yes
402459,2025-02,Home Equity Loan,2022-08-10,517636,344901,260276,78.79,31.08,8.04,90+ Days,676,TX,Purchase,No,No,Correspondent,360,7,Bank A,Yes
402460,2025-02,Home Equity Loan,2020-09-12,962846,373144,15870,73.59,40.95,7.84,Current,802,CA,Cash-Out Refinance,No,No,Retail,180,5,Bank A,No
402461,2025-02,First Lien Mortgage,2016-04-16,818213,487481,435104,90.23,25.84,5.83,Current,807,GA,Refinance,No,No,Retail,180,7,Bank A,Yes
402462,2025-02,First Lien Mortgage,2021-01-10,857235,194306,227115,41.22,15.91,5.58,Current,777,NY,Purchase,No,Yes,Broker,240,3,Bank B,Yes
402463,2025-02,First Lien Mortgage,2019-04-13,294479,331821,153207,83.16,33.47,8.12,Current,541,CA,Purchase,No,No,Broker,240,10,Bank A,No
402464,2025-02,Home Equity Loan,2020-09-10,789913,186349,195203,56.28,26.33,9.54,Current,503,IL,Refinance,No,No,Broker,360,3,Bank C,Yes
402465,2025-02,Home Equity Loan,2019-11-12,484493,56000,354173,75.61,13.27,6.92,Current,814,GA,Purchase,No,No,Direct,180,3,Bank A,Yes
402466,2025-02,Home Equity Loan,2021-03-06,58435,11738,211917,45.29,57.11,5.98,Current,580,NY,Cash-Out Refinance,No,No,Direct,360,10,Bank B,No
402467,2025-02,First Lien Mortgage,2019-08-19,71487,462647,423884,60.14,30.7,8.31,Current,621,TX,Refinance,No,No,Direct,240,3,Bank B,Yes
402468,2025-02,Home Equity Loan,2020-04-12,879541,322013,371471,57.79,53.36,4.2,30 Days,727,WA,Refinance,No,No,Broker,180,7,Bank B,Yes
402469,2025-02,Home Equity Loan,2020-09-21,642578,459221,104085,43.43,42.88,8.17,Current,594,TX,Purchase,No,No,Correspondent,240,3,Bank A,No
402470,2025-02,Home Equity Loan,2023-07-22,346362,389597,296125,43.13,30.68,4.36,30 Days,572,TX,Purchase,No,No,Direct,180,10,Bank C,No
402471,2025-02,First Lien Mortgage,2018-09-30,362798,132628,33373,98.62,23.51,8.08,Current,685,GA,Home Improvement,No,No,Correspondent,360,3,Bank C,Yes
402472,2025-02,First Lien Mortgage,2015-11-02,410504,401240,385326,75.05,44.41,9.04,Current,845,CA,Refinance,No,No,Broker,180,10,Bank C,No
402473,2025-02,First Lien Mortgage,2016-12-18,260969,236043,92345,87.02,30.08,2.69,Current,631,FL,Purchase,No,No,Retail,360,5,Bank A,Yes
402474,2025-02,First Lien Mortgage,2019-07-20,296742,438419,167028,81.8,26.87,4.18,Current,540,NY,Home Improvement,No,No,Retail,180,5,Bank A,No
402475,2025-02,First Lien Mortgage,2023-01-31,389734,238939,126502,51.76,50.93,6.06,Current,545,NY,Refinance,No,No,Correspondent,360,3,Bank B,No
402476,2025-02,First Lien Mortgage,2020-09-29,968580,171617,18207,44.52,18.6,6.0,Current,546,WA,Home Improvement,No,No,Correspondent,240,5,Bank C,No
402477,2025-02,Home Equity Loan,2019-06-20,263163,353289,274129,89.77,39.29,3.62,Current,625,WA,Cash-Out Refinance,No,No,Retail,180,7,Bank A,No
402478,2025-02,Home Equity Loan,2023-10-02,894690,375979,49693,68.73,54.19,9.82,Current,644,TX,Refinance,No,No,Broker,360,5,Bank B,No
402479,2025-02,First Lien Mortgage,2016-05-03,841750,326613,66753,68.12,34.26,3.41,Current,700,TX,Purchase,No,No,Correspondent,360,5,Non-Bank D,Yes
402480,2025-02,First Lien Mortgage,2017-09-05,528677,151620,389997,66.87,53.84,2.88,30 Days,586,TX,Home Improvement,No,No,Broker,240,10,Non-Bank D,No
402481,2025-02,First Lien Mortgage,2021-12-16,686594,160584,40110,93.78,56.96,9.89,Current,771,FL,Cash-Out Refinance,Yes,No,Retail,240,10,Bank B,No
402482,2025-02,First Lien Mortgage,2020-10-31,293695,316001,142908,48.28,19.36,5.14,Current,529,IL,Cash-Out Refinance,No,No,Direct,180,5,Bank A,Yes
402483,2025-02,First Lien Mortgage,2017-01-25,903980,82915,135884,92.32,13.49,9.6,30 Days,651,TX,Home Improvement,No,No,Direct,240,5,Non-Bank D,Yes
402484,2025-02,First Lien Mortgage,2016-05-17,894776,21876,357027,42.33,41.4,9.34,Current,807,NY,Purchase,No,No,Direct,360,5,Bank B,Yes
402485,2025-02,Home Equity Loan,2022-07-02,808499,487801,21650,53.81,56.12,3.88,Current,628,NY,Refinance,No,No,Correspondent,180,3,Bank B,Yes
402486,2025-02,Home Equity Loan,2015-09-21,113922,52853,235437,72.23,23.64,6.78,Current,558,WA,Refinance,No,No,Retail,360,10,Bank C,No
402487,2025-02,First Lien Mortgage,2022-09-09,991516,148995,256120,43.73,23.71,2.85,Current,675,FL,Cash-Out Refinance,No,No,Direct,180,7,Bank A,No
402488,2025-02,First Lien Mortgage,2023-05-01,218566,332203,57812,67.69,37.83,6.8,30 Days,669,WA,Cash-Out Refinance,No,No,Direct,360,5,Bank A,Yes
402489,2025-02,First Lien Mortgage,2015-10-11,715401,412224,141734,47.36,21.03,7.4,Current,789,NY,Purchase,No,No,Retail,240,7,Bank A,No
402490,2025-02,First Lien Mortgage,2020-12-27,504529,219869,374390,56.53,28.59,9.69,Current,558,CA,Cash-Out Refinance,No,No,Correspondent,240,3,Non-Bank D,No
402491,2025-02,Home Equity Loan,2015-07-17,606296,447013,227819,45.49,58.23,9.1,Current,690,WA,Refinance,No,No,Retail,360,7,Bank B,No
402492,2025-02,Home Equity Loan,2021-01-24,661606,321887,56751,52.94,18.74,9.34,Current,605,NY,Purchase,No,No,Correspondent,240,5,Non-Bank D,No
402493,2025-02,First Lien Mortgage,2022-01-21,252611,422948,82844,89.35,26.47,3.25,Current,762,FL,Refinance,No,No,Broker,180,10,Non-Bank D,No
402494,2025-02,First Lien Mortgage,2023-05-20,58253,279864,180918,85.08,13.1,6.49,Current,761,GA,Home Improvement,No,No,Broker,180,3,Non-Bank D,No
402495,2025-02,Home Equity Loan,2016-12-23,663780,25396,237146,63.52,58.17,4.63,Current,553,FL,Refinance,No,No,Direct,360,10,Bank C,Yes
402496,2025-02,Home Equity Loan,2016-04-14,923715,396301,59651,56.52,27.63,3.56,Current,845,CA,Cash-Out Refinance,No,Yes,Broker,240,7,Non-Bank D,Yes
402497,2025-02,Home Equity Loan,2022-10-13,108083,463667,73191,99.69,13.24,7.63,Current,721,WA,Home Improvement,No,No,Correspondent,180,10,Non-Bank D,No
402498,2025-02,First Lien Mortgage,2019-01-27,649964,229216,128531,79.11,38.52,9.85,90+ Days,637,NY,Purchase,No,No,Retail,240,3,Bank C,No
402499,2025-02,Home Equity Loan,2023-05-12,849181,304885,198552,60.56,48.52,8.68,Current,701,FL,Cash-Out Refinance,No,No,Broker,360,3,Non-Bank D,Yes
402500,2025-02,Home Equity Loan,2019-10-01,853264,434621,131677,42.23,31.75,7.38,Current,687,NY,Cash-Out Refinance,No,No,Broker,240,7,Bank A,No
402501,2025-02,Home Equity Loan,2017-10-09,389047,19784,423509,77.83,38.5,4.99,Current,661,NY,Refinance,No,No,Direct,240,5,Bank B,Yes
402502,2025-02,Home Equity Loan,2023-01-08,677863,205449,301688,91.88,17.69,3.02,Current,571,GA,Home Improvement,No,No,Correspondent,240,7,Bank A,Yes
402503,2025-02,Home Equity Loan,2023-06-06,865779,49889,384027,95.91,25.29,9.39,Current,626,IL,Home Improvement,No,No,Direct,240,3,Non-Bank D,Yes
402504,2025-02,First Lien Mortgage,2023-09-08,699396,486695,27060,46.93,54.84,7.63,Current,707,TX,Home Improvement,No,No,Correspondent,360,7,Bank A,Yes
402505,2025-02,First Lien Mortgage,2023-02-23,983950,465833,410867,72.55,20.5,7.55,30 Days,816,IL,Cash-Out Refinance,Yes,No,Direct,360,5,Bank C,No
402506,2025-02,Home Equity Loan,2022-08-21,223943,163642,243936,48.38,51.89,9.55,60 Days,672,WA,Home Improvement,No,Yes,Correspondent,360,5,Bank B,No
402507,2025-02,First Lien Mortgage,2017-07-17,700963,92834,289351,89.53,21.31,8.29,Current,587,FL,Refinance,No,No,Retail,240,7,Non-Bank D,No
402508,2025-02,Home Equity Loan,2016-07-26,549010,105306,126141,95.73,11.86,9.98,Current,638,WA,Purchase,No,No,Broker,240,10,Bank A,Yes
402509,2025-02,Home Equity Loan,2017-01-18,893337,317674,390087,80.32,47.73,3.01,Current,682,FL,Refinance,No,No,Direct,360,7,Non-Bank D,No
402510,2025-02,Home Equity Loan,2019-10-01,652796,352257,157922,67.6,46.0,6.13,Current,504,TX,Cash-Out Refinance,No,No,Retail,180,3,Bank B,No
402511,2025-02,Home Equity Loan,2023-08-19,163857,232876,175008,76.09,35.77,5.62,Current,655,GA,Refinance,No,No,Correspondent,240,10,Bank B,No
402512,2025-02,First Lien Mortgage,2023-10-26,546212,33157,383934,82.52,14.23,5.57,Current,529,WA,Home Improvement,No,No,Direct,180,7,Non-Bank D,Yes
402513,2025-02,Home Equity Loan,2018-08-23,198089,283221,268511,54.74,22.38,3.93,Current,598,WA,Refinance,No,Yes,Direct,360,10,Bank A,Yes
402514,2025-02,First Lien Mortgage,2016-09-13,723052,389717,399849,70.03,53.34,3.72,60 Days,565,TX,Refinance,No,No,Broker,240,7,Bank B,No
402515,2025-02,First Lien Mortgage,2017-06-21,987417,371078,240791,74.35,17.11,9.14,60 Days,631,IL,Cash-Out Refinance,No,Yes,Broker,360,7,Bank A,No
402516,2025-02,First Lien Mortgage,2020-09-18,659387,388020,171257,57.15,16.18,7.49,Current,525,IL,Refinance,No,No,Broker,180,10,Bank C,Yes
402517,2025-02,Home Equity Loan,2022-09-14,800982,496564,286999,83.33,29.46,3.36,Current,845,FL,Refinance,No,No,Retail,360,7,Bank B,No
402518,2025-02,Home Equity Loan,2016-04-24,120425,434633,199155,96.57,54.26,8.32,Current,775,IL,Refinance,No,No,Correspondent,360,5,Bank C,No
402519,2025-02,Home Equity Loan,2021-11-29,117923,401334,313972,99.66,14.02,4.43,Current,649,IL,Purchase,No,No,Direct,180,5,Non-Bank D,Yes
402520,2025-02,Home Equity Loan,2021-01-21,266056,89969,356354,50.29,48.24,8.72,Current,533,IL,Cash-Out Refinance,No,No,Broker,360,5,Non-Bank D,No
402521,2025-02,First Lien Mortgage,2017-01-15,702743,286120,183637,83.43,41.99,2.68,Current,547,NY,Purchase,No,No,Correspondent,180,5,Non-Bank D,No
402522,2025-02,Home Equity Loan,2023-06-06,568108,460552,354580,81.0,27.62,3.95,Current,782,CA,Cash-Out Refinance,No,Yes,Direct,360,3,Bank B,Yes
402523,2025-02,Home Equity Loan,2018-07-13,84808,156363,177230,66.41,38.48,8.7,Current,757,WA,Refinance,No,No,Broker,180,3,Bank A,Yes
402524,2025-02,Home Equity Loan,2015-02-22,581334,406186,188617,86.34,56.74,8.95,Current,630,FL,Home Improvement,No,No,Direct,360,7,Non-Bank D,No
402525,2025-02,First Lien Mortgage,2016-06-24,905823,136213,173804,77.39,11.2,7.54,30 Days,760,NY,Purchase,No,No,Broker,180,3,Bank C,No
402526,2025-02,Home Equity Loan,2019-11-04,79009,200668,298257,99.86,35.5,8.28,Current,595,TX,Purchase,No,Yes,Correspondent,360,7,Bank B,No
402527,2025-02,First Lien Mortgage,2016-06-22,813147,202695,39132,90.76,28.91,3.49,Current,791,GA,Refinance,No,No,Retail,180,7,Bank A,Yes
402528,2025-02,First Lien Mortgage,2017-11-15,405849,111204,292161,71.77,51.38,4.17,Current,623,GA,Home Improvement,No,No,Retail,360,5,Bank B,No
402529,2025-02,Home Equity Loan,2019-08-01,437511,173075,325431,50.75,46.6,4.19,Current,778,GA,Cash-Out Refinance,No,No,Correspondent,180,7,Non-Bank D,Yes
402530,2025-02,First Lien Mortgage,2016-05-27,94233,322668,208072,68.77,15.96,5.68,Current,662,WA,Purchase,No,No,Broker,240,10,Bank A,No
402531,2025-02,Home Equity Loan,2017-02-01,740803,269759,333223,73.59,38.09,9.96,Current,834,IL,Refinance,No,No,Retail,360,5,Bank C,No
