Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
301443,2025-02,42921,7824,19.63,526,Paid in Full,Current,500,41.25,No
301444,2025-02,31706,24860,14.48,181,Paid in Full,Current,664,77.49,No
301445,2025-02,4296,27508,12.85,482,Paid in Full,30 Days,592,81.33,Yes
301446,2025-02,10011,34910,14.95,506,Paid in Full,Current,534,44.74,No
301447,2025-02,31855,30790,19.69,490,Paid in Full,Current,772,12.73,No
301448,2025-02,12464,9876,19.74,592,Paid in Full,Current,655,58.05,No
301449,2025-02,17144,19155,24.68,857,Paid in Full,Current,622,7.83,No
301450,2025-02,5691,13206,11.58,499,Paid in Full,Current,677,59.43,No
301451,2025-02,40272,5845,24.4,794,Paid in Full,Current,844,17.88,No
301452,2025-02,22728,810,17.78,899,Paid in Full,Current,717,58.84,No
301453,2025-02,48072,9268,14.85,643,Paid in Full,Current,748,30.44,No
301454,2025-02,9932,4793,12.76,549,Paid in Full,Current,571,74.25,No
301455,2025-02,1113,9734,13.77,202,Paid in Full,Current,735,58.92,No
301456,2025-02,33870,19608,10.8,645,Paid in Full,Current,597,81.96,No
301457,2025-02,32802,11287,23.6,621,Paid in Full,Current,580,32.4,No
301458,2025-02,21459,21419,17.72,324,Partial Payment,Current,507,30.54,No
301459,2025-02,38989,15282,16.25,607,Paid in Full,Current,699,72.1,No
301460,2025-02,5251,31754,19.83,939,Partial Payment,Current,521,76.51,No
301461,2025-02,38200,7188,12.6,570,Missed Payment,Current,680,27.35,No
301462,2025-02,37538,22743,17.53,904,Partial Payment,Current,778,29.85,No
301463,2025-02,4154,1216,14.71,533,Paid in Full,Current,682,48.64,Yes
301464,2025-02,35079,14441,12.47,873,Paid in Full,Current,776,84.51,No
301465,2025-02,37205,27213,13.32,597,Paid in Full,Current,809,8.16,Yes
301466,2025-02,28523,2420,14.63,614,Paid in Full,Current,769,40.43,No
301467,2025-02,24553,35727,20.54,783,Missed Payment,Current,831,85.59,No
301468,2025-02,18317,11003,20.69,618,Paid in Full,Current,828,10.38,No
301469,2025-02,45559,11114,20.2,64,Paid in Full,90+ Days,749,82.0,No
301470,2025-02,39699,34806,11.99,442,Paid in Full,Current,599,89.77,No
301471,2025-02,39058,32088,24.53,545,Paid in Full,Current,668,91.35,No
301472,2025-02,3835,9360,14.79,757,Paid in Full,Current,614,89.43,No
301473,2025-02,40189,17986,22.64,538,Paid in Full,Current,753,40.81,No
301474,2025-02,6089,10053,22.25,842,Partial Payment,30 Days,719,60.87,No
301475,2025-02,32059,25796,11.12,390,Paid in Full,Current,689,85.22,No
301476,2025-02,45791,36067,19.01,868,Paid in Full,Current,733,59.43,No
301477,2025-02,19692,39846,17.42,240,Paid in Full,Current,786,73.32,No
301478,2025-02,4805,37472,17.04,928,Paid in Full,Current,645,26.04,No
301479,2025-02,25290,27210,18.38,697,Paid in Full,Current,831,50.94,No
301480,2025-02,13797,1521,13.45,106,Paid in Full,30 Days,732,56.68,No
301481,2025-02,23101,19451,23.84,458,Paid in Full,Current,646,35.76,No
301482,2025-02,27964,22490,15.16,845,Partial Payment,Current,790,53.3,No
301483,2025-02,29151,21048,23.28,105,Paid in Full,Current,711,46.49,No
301484,2025-02,44571,16770,19.09,100,Partial Payment,Current,635,54.33,No
301485,2025-02,17022,41821,20.91,393,Partial Payment,Current,601,87.26,No
301486,2025-02,42278,35105,11.26,119,Paid in Full,Current,673,83.69,No
301487,2025-02,31507,2327,13.14,648,Paid in Full,Current,809,46.71,No
301488,2025-02,4713,27466,20.65,640,Missed Payment,Current,542,81.68,No
301489,2025-02,13813,42749,15.17,206,Paid in Full,Current,742,43.11,No
301490,2025-02,48146,43748,24.92,72,Missed Payment,Current,592,77.97,Yes
301491,2025-02,30276,38399,23.55,974,Paid in Full,Current,605,93.92,No
301492,2025-02,40764,4259,16.6,79,Missed Payment,Current,843,14.25,No
301493,2025-02,48973,34940,19.18,85,Paid in Full,Current,709,40.33,No
301494,2025-02,2023,11712,22.16,958,Paid in Full,Current,787,65.4,No
301495,2025-02,45161,13015,22.62,253,Paid in Full,Current,788,59.02,No
301496,2025-02,24651,31967,12.85,549,Partial Payment,Current,724,65.97,No
301497,2025-02,10678,15617,16.47,367,Paid in Full,Current,514,28.62,No
301498,2025-02,16995,26619,12.92,247,Paid in Full,60 Days,745,28.68,No
301499,2025-02,43468,2005,17.61,610,Paid in Full,Current,787,71.45,No
301500,2025-02,48237,22482,19.94,731,Partial Payment,30 Days,590,34.98,No
301501,2025-02,8151,26657,10.21,602,Paid in Full,Current,798,11.81,No
301502,2025-02,29993,35246,18.83,658,Paid in Full,Current,760,21.9,No
301503,2025-02,42391,18951,17.9,203,Paid in Full,Current,844,73.54,No
301504,2025-02,12341,16887,19.57,429,Paid in Full,Current,536,29.15,No
301505,2025-02,23068,43916,19.41,990,Paid in Full,30 Days,645,81.23,No
301506,2025-02,20225,19363,15.89,196,Paid in Full,Current,806,29.38,Yes
301507,2025-02,41441,40239,24.83,348,Partial Payment,Current,520,38.26,No
301508,2025-02,2512,4073,11.08,928,Missed Payment,Current,614,23.26,No
301509,2025-02,46779,4017,23.34,236,Partial Payment,Current,739,79.94,No
301510,2025-02,37330,26833,20.87,873,Paid in Full,Current,565,92.73,No
301511,2025-02,9718,31935,24.03,952,Paid in Full,Current,569,56.08,No
301512,2025-02,28544,41756,23.68,181,Paid in Full,Current,756,8.51,No
301513,2025-02,6827,7740,14.81,190,Paid in Full,30 Days,657,85.79,No
301514,2025-02,14444,11253,22.93,817,Paid in Full,Current,526,78.09,No
301515,2025-02,34936,35954,17.32,223,Missed Payment,Current,596,35.89,No
301516,2025-02,13420,31032,21.54,358,Paid in Full,Current,564,78.83,No
301517,2025-02,16910,27859,15.33,796,Paid in Full,Current,824,11.94,No
301518,2025-02,27813,4811,20.1,854,Paid in Full,Current,848,61.86,No
301519,2025-02,29316,13551,20.28,685,Paid in Full,Current,815,55.61,No
301520,2025-02,14250,7692,11.84,926,Paid in Full,Current,719,69.8,No
301521,2025-02,21335,33235,13.91,684,Missed Payment,Current,760,67.93,No
301522,2025-02,38502,27470,15.01,92,Paid in Full,Current,701,56.85,No
301523,2025-02,12232,26271,19.14,634,Paid in Full,30 Days,606,8.11,No
301524,2025-02,27573,30781,16.18,234,Paid in Full,Current,792,91.12,No
301525,2025-02,1675,7865,14.37,98,Paid in Full,30 Days,537,40.54,No
301526,2025-02,43772,14983,22.51,936,Paid in Full,Current,704,85.37,Yes
301527,2025-02,26088,33590,22.8,947,Partial Payment,Current,640,79.85,No
301528,2025-02,16985,2333,20.36,449,Paid in Full,Current,508,85.21,No
301529,2025-02,18069,26944,24.67,731,Paid in Full,Current,694,7.3,No
301530,2025-02,36573,30953,14.6,761,Missed Payment,Current,653,70.54,Yes
301531,2025-02,36165,7065,18.24,259,Missed Payment,Current,552,73.53,No
301532,2025-02,6295,20505,11.86,942,Paid in Full,Current,774,69.13,No
301533,2025-02,2453,9525,10.14,956,Partial Payment,30 Days,802,72.36,No
301534,2025-02,7483,41336,24.39,746,Paid in Full,Current,528,74.1,No
301535,2025-02,36550,14860,14.96,635,Paid in Full,Current,689,83.55,No
301536,2025-02,3322,18863,12.17,228,Paid in Full,Current,843,93.23,No
301537,2025-02,2543,6662,11.19,199,Paid in Full,Current,560,22.23,No
301538,2025-02,3286,23389,15.43,788,Paid in Full,30 Days,532,44.17,No
301539,2025-02,12079,33844,17.64,118,Paid in Full,Current,662,47.06,No
301540,2025-02,49037,38718,19.0,238,Paid in Full,Current,725,35.32,No
301541,2025-02,35730,40451,10.68,727,Paid in Full,Current,650,29.17,No
301542,2025-02,49405,20110,20.42,330,Paid in Full,Current,710,84.2,No
301543,2025-02,1609,37955,13.65,926,Paid in Full,Current,801,73.96,No
301544,2025-02,15350,41289,13.53,630,Paid in Full,Current,738,17.56,No
301545,2025-02,28265,28381,14.31,445,Missed Payment,Current,658,20.09,No
301546,2025-02,14105,26849,20.22,217,Paid in Full,30 Days,800,42.64,No
301547,2025-02,1826,39769,21.05,555,Paid in Full,30 Days,670,64.96,No
301548,2025-02,21155,44269,11.03,144,Paid in Full,Current,663,50.25,No
301549,2025-02,7410,35851,22.44,977,Paid in Full,Current,541,90.4,No
301550,2025-02,32812,37200,20.61,627,Paid in Full,Current,578,23.73,No
301551,2025-02,22552,11789,16.39,454,Paid in Full,Current,672,79.89,No
301552,2025-02,24182,13786,12.7,208,Partial Payment,Current,792,59.39,No
301553,2025-02,6936,3388,15.83,952,Paid in Full,Current,814,61.96,No
301554,2025-02,34612,15576,20.09,780,Paid in Full,60 Days,507,68.01,No
301555,2025-02,23675,26815,20.18,664,Paid in Full,Current,579,76.47,No
301556,2025-02,22509,6773,12.43,812,Paid in Full,Current,511,72.34,No
301557,2025-02,27935,14154,21.5,188,Missed Payment,Current,777,51.15,No
301558,2025-02,12384,12658,23.85,997,Partial Payment,Current,624,8.24,No
301559,2025-02,16116,37617,12.56,171,Paid in Full,Current,532,87.73,No
301560,2025-02,40733,23014,19.83,447,Partial Payment,Current,652,12.24,No
301561,2025-02,9345,34192,10.92,550,Paid in Full,Current,571,88.13,No
301562,2025-02,25332,41927,17.0,300,Paid in Full,Current,526,19.9,No
301563,2025-02,45812,29263,20.32,141,Paid in Full,Current,647,83.64,No
301564,2025-02,39950,30422,14.63,820,Paid in Full,Current,652,42.06,No
301565,2025-02,29761,17778,21.44,869,Partial Payment,Current,750,31.36,No
301566,2025-02,5745,15811,15.9,191,Paid in Full,Current,621,75.72,No
301567,2025-02,10886,7142,12.2,766,Paid in Full,Current,506,13.19,No
301568,2025-02,31342,15027,22.72,860,Partial Payment,30 Days,563,29.85,No
301569,2025-02,42356,24319,10.46,243,Paid in Full,Current,804,45.93,No
301570,2025-02,21466,6813,16.94,999,Paid in Full,Current,650,91.63,No
301571,2025-02,29744,36388,12.14,386,Partial Payment,Current,598,31.59,No
301572,2025-02,13617,42908,12.99,378,Paid in Full,Current,814,10.17,No
301573,2025-02,19478,39449,23.67,326,Paid in Full,Current,662,47.47,No
301574,2025-02,24799,27983,20.9,146,Paid in Full,Current,748,41.91,No
301575,2025-02,14609,33471,15.04,272,Paid in Full,Current,678,73.78,No
301576,2025-02,30524,7876,21.17,160,Paid in Full,Current,620,66.98,No
301577,2025-02,8288,26595,15.04,77,Paid in Full,Current,692,63.62,No
301578,2025-02,21425,38563,11.54,86,Paid in Full,60 Days,772,89.09,No
301579,2025-02,35412,31736,19.97,298,Paid in Full,Current,770,58.24,No
301580,2025-02,38312,16877,18.1,266,Missed Payment,Current,651,91.71,No
301581,2025-02,10385,2251,13.49,710,Paid in Full,Current,664,74.37,No
301582,2025-02,40488,39789,17.17,269,Paid in Full,Current,641,91.69,No
301583,2025-02,44484,23643,16.84,698,Paid in Full,30 Days,652,40.57,No
301584,2025-02,43552,35146,19.87,538,Partial Payment,Current,745,37.39,No
301585,2025-02,44101,26506,19.46,950,Paid in Full,Current,601,26.4,No
301586,2025-02,38247,17053,17.8,331,Paid in Full,Current,522,28.13,No
301587,2025-02,42470,6207,21.88,473,Paid in Full,Current,636,8.12,No
301588,2025-02,38624,12585,19.46,953,Paid in Full,Current,738,61.42,No
301589,2025-02,34549,8667,10.84,676,Missed Payment,Current,758,52.75,No
301590,2025-02,10432,25499,20.28,304,Missed Payment,Current,601,90.81,No
301591,2025-02,38364,3620,22.5,241,Paid in Full,60 Days,753,75.31,No
301592,2025-02,38853,42464,14.41,359,Paid in Full,Current,586,93.17,No
301593,2025-02,15418,26305,19.31,985,Paid in Full,Current,544,21.05,No
301594,2025-02,1371,10176,15.4,205,Paid in Full,Current,738,80.55,No
301595,2025-02,27456,44109,14.14,714,Missed Payment,Current,713,62.6,No
301596,2025-02,32007,14711,20.35,523,Missed Payment,Current,716,12.95,No
301597,2025-02,30830,1644,16.93,902,Partial Payment,Current,819,27.94,No
301598,2025-02,6829,27387,19.53,514,Partial Payment,Current,625,63.32,No
301599,2025-02,25552,26879,21.53,734,Paid in Full,Current,796,19.21,No
301600,2025-02,24164,26026,15.44,895,Partial Payment,Current,839,44.81,No
301601,2025-02,16848,39950,18.82,522,Partial Payment,Current,790,55.08,No
301602,2025-02,16770,33586,22.36,943,Paid in Full,Current,525,50.18,No
301603,2025-02,12323,25641,11.87,517,Paid in Full,30 Days,575,77.85,No
301604,2025-02,39779,35816,11.67,248,Paid in Full,Current,657,86.65,No
301605,2025-02,21076,2724,20.66,750,Paid in Full,30 Days,650,56.58,No
301606,2025-02,47035,897,21.08,93,Partial Payment,Current,848,25.54,No
301607,2025-02,37903,43788,17.06,335,Paid in Full,Current,622,31.46,No
301608,2025-02,19713,23014,12.74,465,Paid in Full,Current,793,86.12,No
301609,2025-02,44615,10467,18.14,202,Paid in Full,Current,839,78.03,No
301610,2025-02,38668,2792,19.6,875,Paid in Full,Current,666,61.68,No
301611,2025-02,44442,12956,23.32,615,Paid in Full,Current,791,61.08,Yes
301612,2025-02,31228,17356,16.54,71,Paid in Full,Current,776,78.0,No
301613,2025-02,11346,43849,12.87,546,Paid in Full,Current,714,52.55,No
301614,2025-02,21392,6024,20.94,985,Paid in Full,Current,791,85.66,No
301615,2025-02,37521,26086,11.22,509,Missed Payment,Current,741,56.8,No
301616,2025-02,15041,42523,23.75,408,Paid in Full,Current,791,40.99,No
301617,2025-02,36184,41731,23.22,361,Paid in Full,Current,634,43.77,No
301618,2025-02,48441,529,13.53,176,Paid in Full,Current,539,59.61,No
301619,2025-02,44819,11268,22.88,403,Partial Payment,Current,638,35.64,No
301620,2025-02,48973,20564,16.37,83,Paid in Full,Current,764,55.3,No
301621,2025-02,6182,564,18.64,523,Paid in Full,Current,709,34.79,No
301622,2025-02,45468,36352,10.84,904,Paid in Full,Current,734,82.74,No
301623,2025-02,48706,22551,20.81,482,Paid in Full,Current,821,89.53,No
301624,2025-02,45562,6847,10.46,129,Paid in Full,Current,782,72.26,No
301625,2025-02,26531,28839,10.65,524,Paid in Full,Current,847,44.79,No
301626,2025-02,39522,24134,17.36,535,Paid in Full,Current,537,67.8,No
301627,2025-02,18326,22789,10.02,184,Paid in Full,Current,699,92.57,No
301628,2025-02,33541,27055,17.26,256,Paid in Full,Current,548,88.32,No
301629,2025-02,14788,42530,12.59,109,Paid in Full,30 Days,574,24.9,No
301630,2025-02,28062,26856,10.35,442,Partial Payment,Current,550,90.66,No
301631,2025-02,13695,36408,14.16,617,Paid in Full,Current,746,22.77,No
301632,2025-02,40472,33572,18.11,698,Partial Payment,Current,761,33.85,No
301633,2025-02,40291,32977,13.63,538,Partial Payment,Current,648,85.14,No
301634,2025-02,28057,41343,18.72,501,Paid in Full,Current,539,79.61,No
301635,2025-02,19706,21364,24.34,577,Paid in Full,Current,778,61.97,No
301636,2025-02,20155,26745,14.19,788,Partial Payment,30 Days,750,50.0,No
301637,2025-02,48824,12948,14.1,999,Paid in Full,Current,567,82.47,No
301638,2025-02,44320,2427,20.3,234,Paid in Full,Current,541,76.76,No
301639,2025-02,23913,12163,19.67,603,Missed Payment,Current,729,30.78,No
301640,2025-02,18637,40105,16.07,905,Paid in Full,Current,821,52.9,No
301641,2025-02,13233,11165,23.92,119,Paid in Full,Current,804,11.47,Yes
301642,2025-02,34161,5824,21.03,950,Partial Payment,Current,602,37.01,No
301643,2025-02,49846,20742,20.0,663,Paid in Full,Current,676,17.61,No
301644,2025-02,31709,43446,11.6,622,Partial Payment,Current,800,85.53,No
301645,2025-02,47952,33346,10.83,898,Partial Payment,Current,774,67.86,No
301646,2025-02,45898,22155,17.25,780,Paid in Full,Current,575,65.08,No
301647,2025-02,35396,11953,21.1,820,Paid in Full,Current,693,70.76,No
301648,2025-02,8333,10094,24.28,161,Missed Payment,30 Days,701,60.57,No
301649,2025-02,12320,40340,24.01,921,Paid in Full,30 Days,780,13.16,No
301650,2025-02,1990,13730,13.64,331,Missed Payment,Current,596,50.16,No
301651,2025-02,29879,42082,11.19,257,Partial Payment,Current,710,46.84,No
301652,2025-02,34671,42497,22.45,52,Paid in Full,Current,697,55.15,No
301653,2025-02,34984,36774,13.39,433,Paid in Full,Current,832,52.17,No
301654,2025-02,38828,42154,12.94,370,Paid in Full,Current,664,52.09,No
301655,2025-02,38225,19321,13.13,266,Partial Payment,Current,560,57.19,No
301656,2025-02,11608,29161,17.83,613,Paid in Full,Current,667,57.58,No
301657,2025-02,37803,37315,18.45,346,Paid in Full,30 Days,801,12.0,No
301658,2025-02,24181,42723,11.12,338,Paid in Full,Current,616,7.22,No
301659,2025-02,16688,10587,22.2,413,Paid in Full,Current,514,91.38,No
301660,2025-02,33685,36090,20.0,124,Paid in Full,Current,587,32.37,No
301661,2025-02,32497,28103,23.27,997,Paid in Full,Current,770,53.21,No
301662,2025-02,36855,8419,10.31,142,Paid in Full,Current,838,54.7,No
301663,2025-02,37405,33309,18.65,879,Paid in Full,60 Days,608,20.77,No
301664,2025-02,21480,32276,22.95,579,Paid in Full,Current,556,60.72,No
301665,2025-02,49693,38257,12.11,865,Partial Payment,Current,552,50.68,No
301666,2025-02,47501,18700,22.4,714,Paid in Full,Current,510,76.12,No
301667,2025-02,32750,37220,17.42,513,Paid in Full,Current,765,86.83,No
301668,2025-02,41174,11698,19.71,851,Paid in Full,Current,763,48.63,No
301669,2025-02,19856,23942,12.01,524,Paid in Full,Current,748,18.54,No
301670,2025-02,33172,9933,20.56,401,Paid in Full,Current,613,71.12,No
301671,2025-02,37206,21195,23.47,425,Paid in Full,Current,569,7.02,No
301672,2025-02,37344,20461,21.07,648,Paid in Full,30 Days,821,16.24,No
301673,2025-02,1197,25110,17.53,293,Paid in Full,Current,560,58.34,No
301674,2025-02,19901,33192,16.65,467,Partial Payment,Current,675,23.92,No
301675,2025-02,36551,8383,15.7,155,Paid in Full,Current,605,88.8,No
301676,2025-02,8769,37153,15.19,700,Paid in Full,Current,840,41.97,No
301677,2025-02,25760,38404,13.09,714,Paid in Full,30 Days,687,7.28,No
301678,2025-02,15268,39304,24.13,93,Paid in Full,Current,537,21.29,No
301679,2025-02,16615,22750,16.12,116,Paid in Full,Current,640,40.22,No
301680,2025-02,15702,1389,15.65,666,Paid in Full,30 Days,661,54.18,No
301681,2025-02,11095,35776,24.81,378,Paid in Full,Current,827,71.46,No
301682,2025-02,36479,2814,24.5,103,Paid in Full,Current,600,88.86,No
301683,2025-02,24095,34123,23.11,684,Paid in Full,Current,626,83.07,No
301684,2025-02,4695,17502,12.35,138,Paid in Full,Current,517,71.84,No
301685,2025-02,35789,26085,13.59,414,Partial Payment,Current,766,20.71,No
301686,2025-02,42341,38628,21.7,409,Paid in Full,Current,518,29.8,No
301687,2025-02,20331,2073,13.37,952,Paid in Full,Current,759,31.27,No
301688,2025-02,15247,5916,23.63,990,Paid in Full,Current,547,17.12,No
301689,2025-02,49353,9403,19.16,724,Paid in Full,30 Days,694,49.69,No
301690,2025-02,19870,36232,16.31,706,Paid in Full,Current,788,70.46,No
301691,2025-02,7415,6946,20.5,372,Partial Payment,Current,592,14.19,No
301692,2025-02,49975,19450,11.61,384,Paid in Full,Current,528,21.75,No
301693,2025-02,47804,26143,18.67,444,Paid in Full,Current,844,27.32,No
301694,2025-02,33160,1540,13.92,721,Paid in Full,Current,778,60.14,No
301695,2025-02,14599,21572,23.57,321,Paid in Full,Current,824,75.88,No
301696,2025-02,1972,21329,14.76,612,Partial Payment,Current,849,49.17,No
301697,2025-02,15478,38985,23.46,774,Paid in Full,Current,613,80.55,No
301698,2025-02,20611,19209,18.94,269,Paid in Full,Current,621,60.05,No
301699,2025-02,26640,16127,10.68,639,Partial Payment,Current,555,38.12,Yes
301700,2025-02,31195,13404,16.41,892,Paid in Full,Current,502,23.61,No
301701,2025-02,36566,22086,19.02,519,Missed Payment,Current,561,73.38,No
301702,2025-02,16906,27161,15.02,876,Paid in Full,Current,665,82.46,No
301703,2025-02,12594,8657,11.5,106,Paid in Full,60 Days,619,84.73,No
301704,2025-02,38276,20236,20.68,61,Paid in Full,Current,839,55.71,No
301705,2025-02,35082,8221,14.1,514,Paid in Full,Current,737,52.58,No
301706,2025-02,36068,10320,11.83,912,Paid in Full,Current,660,67.9,Yes
301707,2025-02,34543,43698,19.47,85,Partial Payment,Current,848,53.3,No
301708,2025-02,25132,29470,24.02,608,Paid in Full,Current,749,6.44,Yes
301709,2025-02,17836,22894,10.56,484,Paid in Full,Current,598,18.65,No
301710,2025-02,46582,1494,21.63,236,Paid in Full,Current,723,9.74,No
301711,2025-02,33708,34111,14.78,835,Partial Payment,Current,704,68.38,No
301712,2025-02,6760,14106,12.71,360,Paid in Full,Current,731,16.92,No
301713,2025-02,12126,44590,22.62,983,Missed Payment,Current,623,92.18,No
301714,2025-02,23970,36903,18.6,820,Paid in Full,Current,546,45.31,No
301715,2025-02,14159,28833,12.64,535,Paid in Full,Current,629,66.81,No
301716,2025-02,39886,10857,19.4,149,Missed Payment,Current,785,92.5,No
301717,2025-02,4149,23347,23.05,793,Missed Payment,Current,537,64.64,No
301718,2025-02,15852,13413,23.53,521,Paid in Full,Current,829,82.49,No
301719,2025-02,4404,24518,15.16,653,Paid in Full,Current,699,21.2,No
301720,2025-02,20920,9227,17.89,401,Paid in Full,Current,626,45.9,No
301721,2025-02,27806,23316,16.38,945,Paid in Full,30 Days,841,20.06,No
301722,2025-02,10656,22895,13.23,395,Partial Payment,Current,571,34.16,No
301723,2025-02,27287,2619,21.01,221,Partial Payment,Current,820,51.76,No
301724,2025-02,18102,31950,13.46,342,Paid in Full,Current,700,18.89,No
301725,2025-02,36068,4111,12.54,554,Missed Payment,Current,680,74.37,No
301726,2025-02,36471,43232,10.08,732,Paid in Full,Current,716,51.41,No
301727,2025-02,23032,7390,21.19,839,Paid in Full,Current,813,67.23,No
301728,2025-02,31829,44513,19.37,889,Paid in Full,Current,515,76.88,No
301729,2025-02,41037,23570,12.04,389,Missed Payment,Current,841,85.51,No
301730,2025-02,21440,5998,18.49,97,Missed Payment,Current,781,41.8,No
301731,2025-02,29939,32352,19.58,739,Paid in Full,Current,687,75.0,No
301732,2025-02,19488,32555,20.73,850,Partial Payment,Current,618,68.36,No
301733,2025-02,30109,10032,21.83,672,Paid in Full,Current,780,81.93,No
301734,2025-02,5386,25715,16.71,522,Paid in Full,Current,752,61.53,No
301735,2025-02,14707,14666,16.7,822,Paid in Full,30 Days,529,94.81,No
301736,2025-02,37393,5816,11.5,759,Paid in Full,Current,825,84.27,No
301737,2025-02,23932,18908,20.67,538,Paid in Full,Current,844,12.39,No
301738,2025-02,47583,8212,24.05,446,Paid in Full,Current,619,24.05,No
301739,2025-02,42517,16235,15.66,348,Missed Payment,30 Days,591,58.54,No
301740,2025-02,33185,24217,21.06,390,Paid in Full,Current,505,53.9,No
301741,2025-02,25989,18727,13.32,728,Partial Payment,Current,776,93.74,No
301742,2025-02,36121,7384,12.71,158,Paid in Full,Current,656,69.32,Yes
301743,2025-02,40334,4779,10.98,854,Paid in Full,Current,749,28.84,No
301744,2025-02,31264,24817,12.76,274,Partial Payment,Current,845,26.21,No
301745,2025-02,9293,23923,22.57,999,Paid in Full,Current,728,12.67,No
301746,2025-02,36165,17440,23.51,742,Paid in Full,Current,547,78.9,Yes
301747,2025-02,36105,26974,15.54,208,Paid in Full,Current,635,32.78,No
301748,2025-02,38804,22711,17.65,473,Partial Payment,Current,702,89.7,No
301749,2025-02,27483,35153,10.18,611,Paid in Full,Current,694,72.05,No
301750,2025-02,5476,4379,13.16,981,Paid in Full,Current,830,29.25,No
301751,2025-02,14151,37968,18.12,429,Paid in Full,Current,500,91.89,No
301752,2025-02,11702,14484,17.88,681,Paid in Full,Current,524,20.74,No
301753,2025-02,16481,16775,20.28,256,Paid in Full,Current,720,81.11,No
301754,2025-02,47958,32787,13.7,731,Paid in Full,Current,742,57.66,No
301755,2025-02,31400,18428,19.41,958,Paid in Full,Current,645,33.27,No
301756,2025-02,40856,40877,24.49,165,Partial Payment,Current,535,18.09,No
301757,2025-02,16570,43900,13.54,158,Paid in Full,30 Days,758,76.21,No
301758,2025-02,3736,3724,11.41,260,Paid in Full,Current,797,12.44,No
301759,2025-02,39653,24487,19.53,245,Paid in Full,Current,655,36.54,No
301760,2025-02,30566,41445,23.12,555,Missed Payment,Current,617,18.85,Yes
301761,2025-02,45117,1375,13.54,283,Paid in Full,Current,670,50.75,No
301762,2025-02,41019,8208,23.85,558,Paid in Full,Current,808,67.07,No
301763,2025-02,6182,2774,18.06,633,Paid in Full,Current,519,52.22,No
301764,2025-02,33039,34653,15.53,772,Paid in Full,Current,536,23.46,No
301765,2025-02,41008,32740,18.85,333,Paid in Full,Current,624,30.16,No
301766,2025-02,33210,35456,17.68,194,Partial Payment,Current,748,26.32,No
301767,2025-02,10512,16135,13.12,699,Paid in Full,Current,833,30.28,No
301768,2025-02,33908,21019,11.73,398,Paid in Full,Current,652,8.56,No
301769,2025-02,12916,1011,17.82,301,Partial Payment,Current,797,49.83,No
301770,2025-02,7669,12489,20.65,695,Partial Payment,Current,652,51.4,No
301771,2025-02,22494,15004,23.78,973,Paid in Full,30 Days,800,65.68,No
301772,2025-02,29339,26800,13.28,477,Partial Payment,Current,635,90.08,No
301773,2025-02,20995,25047,22.35,761,Paid in Full,Current,799,70.74,No
301774,2025-02,40440,37347,23.06,620,Paid in Full,Current,666,74.37,No
301775,2025-02,43976,34365,15.96,262,Paid in Full,Current,530,18.99,No
301776,2025-02,42325,12088,12.33,216,Partial Payment,Current,506,73.77,No
301777,2025-02,30678,21065,11.11,425,Paid in Full,Current,578,78.73,No
301778,2025-02,30769,41861,19.44,614,Partial Payment,Current,603,53.37,No
301779,2025-02,10894,25937,10.52,662,Paid in Full,60 Days,507,10.45,No
301780,2025-02,25675,11266,11.21,958,Paid in Full,Current,627,81.48,No
301781,2025-02,19523,20753,19.84,671,Paid in Full,Current,849,72.77,No
301782,2025-02,21520,30445,20.89,105,Paid in Full,Current,687,73.36,No
301783,2025-02,33764,40348,11.19,132,Partial Payment,Current,710,7.98,No
301784,2025-02,16639,25996,21.76,749,Paid in Full,Current,524,91.78,No
301785,2025-02,15277,34893,14.85,777,Paid in Full,Current,655,9.6,No
301786,2025-02,42070,13908,19.01,315,Paid in Full,Current,845,82.05,No
301787,2025-02,49850,19444,23.01,978,Paid in Full,30 Days,657,92.22,No
301788,2025-02,21449,4128,12.34,291,Paid in Full,30 Days,841,25.8,No
301789,2025-02,17973,9138,11.86,645,Paid in Full,Current,697,61.73,No
301790,2025-02,17010,6044,16.7,343,Partial Payment,Current,811,85.62,No
301791,2025-02,47338,24372,23.54,247,Partial Payment,Current,523,19.75,No
301792,2025-02,31483,35489,10.38,712,Partial Payment,Current,756,82.62,No
301793,2025-02,30015,29648,17.84,968,Paid in Full,Current,829,74.98,No
301794,2025-02,1870,20976,19.48,358,Partial Payment,Current,651,87.31,No
301795,2025-02,13023,41500,19.92,365,Missed Payment,Current,831,91.12,No
301796,2025-02,1876,4933,23.66,279,Paid in Full,Current,728,18.14,No
301797,2025-02,14826,12751,13.6,361,Paid in Full,Current,778,37.67,No
301798,2025-02,35865,28829,15.06,259,Paid in Full,Current,783,13.45,No
301799,2025-02,41786,22670,21.55,601,Paid in Full,Current,613,76.25,No
301800,2025-02,9637,7355,15.97,880,Partial Payment,Current,825,37.45,No
301801,2025-02,21516,43887,17.73,67,Paid in Full,Current,786,46.89,No
301802,2025-02,35513,615,12.35,507,Paid in Full,Current,546,5.33,No
301803,2025-02,30678,11841,13.57,590,Partial Payment,Current,662,56.83,No
301804,2025-02,26735,12284,11.62,750,Paid in Full,Current,797,61.05,No
301805,2025-02,39240,5961,12.06,395,Paid in Full,Current,564,41.11,No
